'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/09/2025,1.7,1.2, ,16.0,7.4,94,68,3.17,9.63
PORT FAIRY,02/09/2025,2.6,0.6, ,17.6,6.6,93,52,5.00,12.86
PORT FAIRY,03/09/2025,2.3,4.4, ,16.5,9.9,92,60,5.72,10.85
PORT FAIRY,04/09/2025,2.4,21.8, ,13.3,8.0,94,50,6.41,12.21
PORT FAIRY,05/09/2025,2.2,0.0, ,14.5,4.2,91,46,2.82,15.68
PORT FAIRY,06/09/2025,3.0,0.0, ,19.8,6.0,85,44,4.08,12.89
PORT FAIRY,07/09/2025,2.8,1.8, ,21.3,9.5,93,53,5.66,7.55
PORT FAIRY,08/09/2025,2.5,4.2, ,17.6,11.9,90,63,5.73,13.46
PORT FAIRY,09/09/2025,2.7,0.8, ,15.4,10.9,91,51,5.00,16.30
PORT FAIRY,10/09/2025,2.3,0.0, ,14.8,7.2,87,65,5.75,15.32
PORT FAIRY,11/09/2025,2.6,0.4, ,15.7,10.4,88,62,6.09,14.62
PORT FAIRY,12/09/2025,2.1,1.4, ,16.5,8.0,94,69,4.93,13.38
PORT FAIRY,13/09/2025,1.9,4.4, ,17.1,11.2,95,70,2.52,11.91
PORT FAIRY,14/09/2025,4.1,0.2, ,22.2,5.6,92,38,5.38,18.02
PORT FAIRY,15/09/2025,4.9,0.0, ,24.8,14.2,89,32,6.50,14.39
PORT FAIRY,16/09/2025,2.8,2.0, ,16.6,11.2,90,60,5.97,15.85
PORT FAIRY,17/09/2025,3.0,6.6, ,15.7,7.5,90,50,6.21,16.45
PORT FAIRY,18/09/2025,3.5,0.0, ,21.0,3.4,90,41,3.76,18.03
PORT FAIRY,19/09/2025,3.9,1.2, ,19.6,8.8,90,43,6.19,18.59
PORT FAIRY,20/09/2025,2.9,6.0, ,14.8,7.3,92,53,8.85,14.48
PORT FAIRY,21/09/2025,2.5,1.0, ,15.8,10.4,94,64,7.43,13.93
PORT FAIRY,22/09/2025,3.1,2.0, ,15.2,9.4,80,60,7.97,17.82
PORT FAIRY,23/09/2025,2.3,0.2, ,16.2,10.6,90,69,6.16,11.96
PORT FAIRY,24/09/2025,2.5,0.8, ,16.8,11.3,93,69,6.82,15.53
PORT FAIRY,25/09/2025,2.1,1.4, ,15.6,10.7,94,68,5.35,11.46
PORT FAIRY,26/09/2025,2.5,0.8, ,18.9,11.5,90,64,5.76,10.03
PORT FAIRY,27/09/2025,2.5,0.6, ,15.7,9.4,92,58,4.74,13.22
PORT FAIRY,28/09/2025,2.5,6.0, ,14.7,8.1,94,57,2.44,17.51
PORT FAIRY,29/09/2025,2.0,0.0, ,18.7,7.3,94,58,2.49,8.76
PORT FAIRY,30/09/2025,2.6,13.2, ,16.8,12.5,95,64,4.32,16.14
Totals:,,80.8,83, ,,,,,, 
