'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/08/2025,0.8,0.8, ,14.0,2.9,100,64,0.78,7.74
PORTLAND AIRPORT,02/08/2025,1.1,0.0, ,13.9,4.5,100,63,2.06,10.46
PORTLAND AIRPORT,03/08/2025,2.0,0.4, ,15.4,2.1,100,43,4.20,11.13
PORTLAND AIRPORT,04/08/2025,2.6,0.0, ,16.7,4.7,95,49,7.93,7.85
PORTLAND AIRPORT,05/08/2025,1.7,9.0, ,14.0,8.1,99,62,6.72,11.28
PORTLAND AIRPORT,06/08/2025,1.7,6.0, ,12.6,8.5,99,53,5.01,9.84
PORTLAND AIRPORT,07/08/2025,1.2,0.0, ,12.3,7.2,95,55,1.94,7.79
PORTLAND AIRPORT,08/08/2025,0.8,1.2, ,13.4,4.6,100,88,2.42,8.68
PORTLAND AIRPORT,09/08/2025,1.3,0.4, ,14.9,6.3,99,72,3.14,12.34
PORTLAND AIRPORT,10/08/2025,1.8,0.4, ,18.1,6.2,100,51,2.68,11.70
PORTLAND AIRPORT,11/08/2025,2.1,0.0, ,18.4,4.4,99,51,3.60,12.27
PORTLAND AIRPORT,12/08/2025,1.6,8.8, ,15.2,9.9,100,65,4.39,9.63
PORTLAND AIRPORT,13/08/2025,1.4,0.4, ,15.0,4.8,100,63,2.41,12.69
PORTLAND AIRPORT,14/08/2025,2.3,0.2, ,17.1,4.2,100,48,4.53,12.56
PORTLAND AIRPORT,15/08/2025,2.2,1.6, ,13.6,7.3,99,50,7.39,11.23
PORTLAND AIRPORT,16/08/2025,1.9,14.6, ,12.7,5.5,96,51,5.13,11.26
PORTLAND AIRPORT,17/08/2025,1.3,0.8, ,12.6,5.8,100,71,3.44,10.72
PORTLAND AIRPORT,18/08/2025,1.5,2.0, ,12.7,5.0,97,51,2.75,8.68
PORTLAND AIRPORT,19/08/2025,1.6,0.0, ,13.1,5.4,98,56,2.23,13.49
PORTLAND AIRPORT,20/08/2025,2.2,0.2, ,17.5,0.3,98,44,3.04,13.91
PORTLAND AIRPORT,21/08/2025,2.5,0.0, ,18.6,2.7,92,47,3.79,12.93
PORTLAND AIRPORT,22/08/2025,2.3,0.0, ,17.6,10.6,97,49,4.82,9.52
PORTLAND AIRPORT,23/08/2025,1.7,1.0, ,14.5,5.5,99,56,2.36,13.39
PORTLAND AIRPORT,24/08/2025,1.9,0.0, ,15.0,3.1,98,54,3.17,14.53
PORTLAND AIRPORT,25/08/2025,2.1,0.0, ,15.5,6.4,88,56,4.66,8.18
PORTLAND AIRPORT,26/08/2025,2.3,4.8, ,16.5,11.0,99,54,6.31,8.83
PORTLAND AIRPORT,27/08/2025,2.3,4.4, ,13.6,9.1,98,57,10.16,11.53
PORTLAND AIRPORT,28/08/2025,1.9,6.6, ,13.6,8.5,98,66,8.41,12.32
PORTLAND AIRPORT,29/08/2025,1.7,9.8, ,11.6,8.0,99,60,8.78,6.07
PORTLAND AIRPORT,30/08/2025,2.2,13.6, ,12.8,6.6,96,55,7.63,12.56
PORTLAND AIRPORT,31/08/2025,1.4,3.0, ,13.7,8.7,99,79,6.98,9.49
Totals:,,55.4,90, ,,,,,, 
