'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/09/2025,1.5,7.0, ,14.7,8.6,99,79,4.61,12.23
PORTLAND AIRPORT,02/09/2025,2.2,5.2, ,15.4,6.1,100,58,7.01,10.74
PORTLAND AIRPORT,03/09/2025,2.0,7.2, ,14.6,9.6,99,65,8.17,11.91
PORTLAND AIRPORT,04/09/2025,2.2,21.0, ,12.1,8.2,99,55,6.95,14.90
PORTLAND AIRPORT,05/09/2025,2.0,0.2, ,13.4,2.2,99,53,3.25,15.74
PORTLAND AIRPORT,06/09/2025,3.1,0.0, ,20.4,3.8,90,44,4.77,11.20
PORTLAND AIRPORT,07/09/2025,3.7,2.8, ,20.9,8.6,99,43,8.16,10.70
PORTLAND AIRPORT,08/09/2025,2.3,4.8, ,15.6,12.0,97,69,8.44,15.50
PORTLAND AIRPORT,09/09/2025,2.3,3.0, ,13.4,9.1,97,54,4.08,16.66
PORTLAND AIRPORT,10/09/2025,1.8,1.2, ,14.0,6.0,99,72,3.27,14.34
PORTLAND AIRPORT,11/09/2025, ,1.4, , ,8.8,90,65,5.00,14.08
PORTLAND AIRPORT,12/09/2025, , , ,14.5, ,100,76,6.35,9.97
PORTLAND AIRPORT,13/09/2025,2.0,2.0, ,15.7,11.0,100,70,4.56,13.17
PORTLAND AIRPORT,14/09/2025,4.3,0.2, ,21.3,5.7,96,34,6.51,17.99
PORTLAND AIRPORT,15/09/2025,5.7,0.0, ,24.1,14.4,91,26,8.61,15.88
PORTLAND AIRPORT,16/09/2025,2.7,4.4, ,15.2,10.4,95,61,8.98,15.99
PORTLAND AIRPORT,17/09/2025,3.0,16.0, ,13.6,7.6,85,54,8.80,17.76
PORTLAND AIRPORT,18/09/2025,3.4,0.2, ,19.1,4.0,93,40,4.62,16.41
PORTLAND AIRPORT,19/09/2025,3.0,0.0, ,16.8,8.1,93,59,8.85,17.79
PORTLAND AIRPORT,20/09/2025,2.7,5.2, ,14.1,7.4,97,55,9.58,16.10
PORTLAND AIRPORT,21/09/2025,2.4,4.4, ,15.0,9.2,100,65,9.01,15.69
PORTLAND AIRPORT,22/09/2025,2.6,2.6, ,13.8,8.0,84,61,5.91,16.38
PORTLAND AIRPORT,23/09/2025,1.9,0.4, ,14.7,9.2,99,75,8.28,14.18
PORTLAND AIRPORT,24/09/2025,1.9,0.6, ,15.4,10.7,98,78,8.29,14.31
PORTLAND AIRPORT,25/09/2025,2.0,1.8, ,14.5,11.0,93,76,9.08,11.80
PORTLAND AIRPORT,26/09/2025,2.2,1.6, ,16.5,11.4,97,70,8.74,11.72
PORTLAND AIRPORT,27/09/2025,2.9,0.4, ,15.3,10.6,90,60,8.06,15.88
PORTLAND AIRPORT,28/09/2025,2.8,3.4, ,14.6,6.3,90,48,3.05,18.92
PORTLAND AIRPORT,29/09/2025,1.7,0.0, ,16.0,6.2,100,65,2.93,7.83
PORTLAND AIRPORT,30/09/2025,2.2,24.8, ,15.1,11.0,100,74,5.37,17.10
Totals:,,72.5,121.8, ,,,,,, 
