'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/08/2025,0.9,0.0, ,13.7,-1.1,97,71,1.68,9.31
POUND CREEK,02/08/2025,1.0,0.2, ,14.9,0.7,98,76,2.30,9.46
POUND CREEK,03/08/2025,1.2,0.0, ,17.4,1.7,98,53,1.26,11.41
POUND CREEK,04/08/2025,1.7,0.2, ,19.6,4.5,97,48,2.27,11.13
POUND CREEK,05/08/2025,1.7,4.0, ,15.1,9.8,90,60,3.87,10.89
POUND CREEK,06/08/2025,1.8,0.4, ,13.4,9.8,90,59,5.25,9.15
POUND CREEK,07/08/2025,1.2,0.0, ,13.4,7.0,95,70,2.45,9.63
POUND CREEK,08/08/2025,0.9,0.6, ,13.8,4.6,97,82,1.52,7.54
POUND CREEK,09/08/2025,1.5,0.2, ,16.9,0.4,98,57,2.33,12.21
POUND CREEK,10/08/2025,1.8,0.0, ,17.5,3.9,97,47,2.35,12.34
POUND CREEK,11/08/2025,1.8,0.2, ,16.4,4.0,95,48,2.74,12.47
POUND CREEK,12/08/2025,1.6,0.0, ,17.3,3.5,97,51,2.32,9.23
POUND CREEK,13/08/2025,1.5,5.8, ,14.3,7.2,95,66,3.14,11.73
POUND CREEK,14/08/2025,1.8,0.6, ,16.7,4.5,96,39,2.19,12.26
POUND CREEK,15/08/2025,1.9,0.0, ,15.4,5.8,93,55,4.61,5.70
POUND CREEK,16/08/2025,1.4,12.4, ,11.6,6.8,94,65,3.76,10.82
POUND CREEK,17/08/2025,1.4,5.0, ,12.7,5.7,94,62,1.89,12.11
POUND CREEK,18/08/2025,1.1,0.0, ,13.0,0.3,96,53,1.16,8.82
POUND CREEK,19/08/2025,1.4,0.2, ,15.9,-3.1,97,46,1.09,13.50
POUND CREEK,20/08/2025,1.4,0.0, ,15.9,-1.4,98,50,0.96,13.74
POUND CREEK,21/08/2025,1.8,0.2, ,18.6,0.2,98,55,2.03,13.91
POUND CREEK,22/08/2025,1.5,0.0, ,18.0,6.3,98,61,1.80,9.38
POUND CREEK,23/08/2025,1.9,0.0, ,14.9,9.5,92,57,3.05,13.71
POUND CREEK,24/08/2025,1.6,0.0, ,15.3,0.8,97,62,2.14,13.61
POUND CREEK,25/08/2025,1.8,0.0, ,17.9,1.3,98,54,2.13,10.99
POUND CREEK,26/08/2025,2.0,0.6, ,18.1,10.7,93,50,3.55,5.72
POUND CREEK,27/08/2025,2.1,10.4, ,14.5,9.7,91,62,6.94,8.57
POUND CREEK,28/08/2025,2.1,2.6, ,13.8,8.3,91,59,5.86,10.72
POUND CREEK,29/08/2025,2.1,0.4, ,14.7,9.3,88,62,5.82,9.57
POUND CREEK,30/08/2025,2.3,6.8, ,12.5,7.4,93,56,9.18,12.90
POUND CREEK,31/08/2025,1.7,5.4, ,14.9,8.8,93,71,3.95,11.63
Totals:,,49.9,56.2, ,,,,,, 
