'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/09/2025,1.9,2.0, ,15.2,8.6,93,68,3.46,14.06
POUND CREEK,02/09/2025,2.2,0.0, ,16.5,6.3,95,49,3.33,11.83
POUND CREEK,03/09/2025,2.5,5.0, ,16.6,10.0,91,54,5.45,11.97
POUND CREEK,04/09/2025,2.0,3.6, ,13.1,8.5,92,59,5.90,8.62
POUND CREEK,05/09/2025,1.8,5.8, ,13.6,3.9,91,55,2.62,11.90
POUND CREEK,06/09/2025,2.7,0.0, ,20.4,3.2,93,42,2.31,16.45
POUND CREEK,07/09/2025,3.1,0.0, ,22.0,10.4,88,48,4.71,9.51
POUND CREEK,08/09/2025,2.5,8.8, ,18.4,12.2,96,60,4.45,14.51
POUND CREEK,09/09/2025,2.3,7.8, ,14.2,9.9,94,58,5.38,14.45
POUND CREEK,10/09/2025,1.6,0.2, ,13.2,6.7,95,66,2.77,9.91
POUND CREEK,11/09/2025,2.1,0.8, ,14.5,5.7,92,63,4.28,13.35
POUND CREEK,12/09/2025,1.9,2.8, ,15.5,8.5,95,73,4.81,13.61
POUND CREEK,13/09/2025,1.7,3.2, ,16.1,10.9,97,77,2.83,11.23
POUND CREEK,14/09/2025,3.2,0.2, ,20.1,7.5,95,45,3.72,18.09
POUND CREEK,15/09/2025,5.8,0.0, ,24.0,14.8,56,30,6.36,17.49
POUND CREEK,16/09/2025,2.1,4.8, ,16.9,12.4,94,47,3.16,7.29
POUND CREEK,17/09/2025,2.5,2.4, ,13.6,9.4,89,60,5.83,15.16
POUND CREEK,18/09/2025,3.1,0.4, ,18.4,4.9,90,42,3.40,17.78
POUND CREEK,19/09/2025,4.3,0.0, ,21.7,11.4,90,36,5.89,17.70
POUND CREEK,20/09/2025,2.3,12.0, ,13.0,6.1,90,62,6.72,14.32
POUND CREEK,21/09/2025,2.0,1.0, ,14.7,7.3,93,66,5.89,8.97
POUND CREEK,22/09/2025,2.6,9.4, ,13.6,7.5,86,62,7.75,16.82
POUND CREEK,23/09/2025,2.1,0.6, ,15.3,8.9,89,67,4.53,11.16
POUND CREEK,24/09/2025,2.5,2.6, ,15.8,10.8,94,65,5.39,15.83
POUND CREEK,25/09/2025,1.6,0.8, ,13.9,10.7,88,76,4.75,6.08
POUND CREEK,26/09/2025,2.2,4.2, ,17.5,11.7,93,58,4.14,7.21
POUND CREEK,27/09/2025,3.3,4.4, ,16.5,9.7,90,49,5.56,19.51
POUND CREEK,28/09/2025,1.9,3.6, ,14.5,9.3,94,66,2.36,11.48
POUND CREEK,29/09/2025,3.3,0.4, ,20.9,2.6,97,45,2.51,20.63
POUND CREEK,30/09/2025,1.9,1.2, ,17.5,12.8,93,61,2.89,6.79
Totals:,,75,88, ,,,,,, 
