'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/10/2025,2.5,7.8, ,16.6,8.0,95,58,4.30,13.02
POUND CREEK,02/10/2025,2.0,5.0, ,12.8,8.3,93,67,7.15,10.86
POUND CREEK,03/10/2025,2.0,9.0, ,15.7,10.4,95,79,5.48,13.65
POUND CREEK,04/10/2025,3.0,2.6, ,21.2,8.3,96,72,1.88,21.30
POUND CREEK,05/10/2025,4.0,0.0, ,24.3,10.5,93,39,5.17,10.03
POUND CREEK,06/10/2025,2.9,23.6, ,14.2,10.5,91,60,6.69,18.54
POUND CREEK,07/10/2025,3.2,0.2, ,16.4,7.0,89,55,3.86,21.97
POUND CREEK,08/10/2025,3.2,0.0, ,19.3,6.5,94,56,2.78,20.54
POUND CREEK,09/10/2025,3.1,0.0, ,17.6,10.3,96,54,4.45,18.15
POUND CREEK,10/10/2025,4.4,0.8, ,20.2,7.2,73,49,7.26,19.98
POUND CREEK,11/10/2025,3.3,0.0, ,18.1,11.5,93,54,5.71,17.18
POUND CREEK,12/10/2025,3.2,1.0, ,17.9,9.4,95,53,5.57,15.79
POUND CREEK,13/10/2025,3.0,9.6, ,14.2,7.5,89,54,3.67,21.43
POUND CREEK,14/10/2025,3.1,0.0, ,16.9,4.8,93,60,4.56,21.69
Totals:,,42.9,59.6, ,,,,,, 
