'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/08/2025,1.7,0.0, ,13.6,3.4,99,48,3.52,11.98
PUCKAPUNYAL LYON HILL (DEFENCE),02/08/2025,1.9,0.0, ,15.1,4.6,94,50,3.94,12.10
PUCKAPUNYAL LYON HILL (DEFENCE),03/08/2025,1.7,0.0, ,17.4,3.6,94,41,1.84,12.21
PUCKAPUNYAL LYON HILL (DEFENCE),04/08/2025,1.7,0.0, ,16.7,4.2,97,64,4.23,11.67
PUCKAPUNYAL LYON HILL (DEFENCE),05/08/2025,1.5,5.4, ,13.8,7.4,97,56,3.14,10.21
PUCKAPUNYAL LYON HILL (DEFENCE),06/08/2025,1.5,0.4, ,15.4,3.6,98,50,2.29,10.46
PUCKAPUNYAL LYON HILL (DEFENCE),07/08/2025,1.6,0.0, ,12.8,1.8,95,53,3.36,12.69
PUCKAPUNYAL LYON HILL (DEFENCE),08/08/2025,1.8,0.0, ,15.1,3.7,96,57,3.83,12.80
PUCKAPUNYAL LYON HILL (DEFENCE),09/08/2025,1.9,0.0, ,17.4,4.2,98,44,2.37,12.95
PUCKAPUNYAL LYON HILL (DEFENCE),10/08/2025,1.8,0.2, ,18.0,5.3,90,44,1.89,13.08
PUCKAPUNYAL LYON HILL (DEFENCE),11/08/2025,1.7,0.0, ,15.9,3.4,92,51,2.04,13.21
PUCKAPUNYAL LYON HILL (DEFENCE),12/08/2025,0.9,0.0, ,11.2,4.0,98,70,1.43,5.99
PUCKAPUNYAL LYON HILL (DEFENCE),13/08/2025,1.7,8.6, ,14.9,7.1,99,54,3.12,12.29
PUCKAPUNYAL LYON HILL (DEFENCE),14/08/2025,2.0,0.2, ,15.4,3.8,96,37,2.50,13.62
PUCKAPUNYAL LYON HILL (DEFENCE),15/08/2025,1.4,0.0, ,13.6,6.0,98,66,3.82,9.07
PUCKAPUNYAL LYON HILL (DEFENCE),16/08/2025,1.5,2.8, ,12.0,4.0,99,51,2.71,10.98
PUCKAPUNYAL LYON HILL (DEFENCE),17/08/2025,1.0,0.4, ,10.2,2.4,97,78,1.97,8.42
PUCKAPUNYAL LYON HILL (DEFENCE),18/08/2025,1.9,0.2, ,12.2,4.0,91,52,4.08,13.99
PUCKAPUNYAL LYON HILL (DEFENCE),19/08/2025,2.1,0.0, ,15.3,2.8,86,38,2.48,14.22
PUCKAPUNYAL LYON HILL (DEFENCE),20/08/2025,2.7,0.2, ,17.4,3.2,81,25,2.78,14.48
PUCKAPUNYAL LYON HILL (DEFENCE),21/08/2025,2.5,0.0, ,19.1,6.0,76,40,2.52,14.12
PUCKAPUNYAL LYON HILL (DEFENCE),22/08/2025,1.5,0.0, ,16.2,9.4,94,66,2.28,8.90
PUCKAPUNYAL LYON HILL (DEFENCE),23/08/2025,2.0,0.0, ,16.0,5.6,100,54,3.31,13.54
PUCKAPUNYAL LYON HILL (DEFENCE),24/08/2025,2.6,0.2, ,16.2,5.4,87,40,3.77,15.10
PUCKAPUNYAL LYON HILL (DEFENCE),25/08/2025,2.2,0.0, ,16.8,2.4,97,41,2.46,13.77
PUCKAPUNYAL LYON HILL (DEFENCE),26/08/2025,1.4,5.0, ,12.9,7.4,99,60,3.70,4.21
PUCKAPUNYAL LYON HILL (DEFENCE),27/08/2025,2.3,27.8, ,14.9,8.2,99,56,7.19,11.96
PUCKAPUNYAL LYON HILL (DEFENCE),28/08/2025,1.8,0.4, ,13.5,7.3,93,62,5.13,9.25
PUCKAPUNYAL LYON HILL (DEFENCE),29/08/2025,1.8,5.4, ,11.1,6.7,96,59,6.72,8.49
PUCKAPUNYAL LYON HILL (DEFENCE),30/08/2025,2.0,15.0, ,12.0,5.3,93,57,5.70,11.74
PUCKAPUNYAL LYON HILL (DEFENCE),31/08/2025,1.7,0.2, ,14.7,6.0,94,63,2.47,10.50
Totals:,,55.8,72.4, ,,,,,, 
