'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/09/2025,1.7,0.2, ,15.8,4.9,99,54,1.43,11.66
PUCKAPUNYAL LYON HILL (DEFENCE),02/09/2025, ,0.0, , ,5.0,98,56,2.75,11.79
PUCKAPUNYAL LYON HILL (DEFENCE),03/09/2025,2.7, , ,17.6,7.5,78,52,4.33,12.30
PUCKAPUNYAL LYON HILL (DEFENCE),04/09/2025,2.2,1.0, ,14.4,7.6,90,54,3.47,13.00
PUCKAPUNYAL LYON HILL (DEFENCE),05/09/2025,2.4,0.2, ,14.5,3.5,85,39,2.44,16.99
PUCKAPUNYAL LYON HILL (DEFENCE),06/09/2025,2.6,0.0, ,18.1,3.5,87,56,3.63,16.89
PUCKAPUNYAL LYON HILL (DEFENCE),07/09/2025,2.1,0.0, ,15.8,10.2,94,55,6.47,3.69
PUCKAPUNYAL LYON HILL (DEFENCE),08/09/2025,2.5,7.6, ,17.8,9.0,97,54,3.53,14.09
PUCKAPUNYAL LYON HILL (DEFENCE),09/09/2025,2.3,0.0, ,17.1,4.8,97,51,2.49,15.30
PUCKAPUNYAL LYON HILL (DEFENCE),10/09/2025,2.3,0.0, ,13.4,6.7,80,60,5.89,9.89
PUCKAPUNYAL LYON HILL (DEFENCE),11/09/2025,2.5,0.0, ,15.1,6.8,90,45,4.33,11.43
PUCKAPUNYAL LYON HILL (DEFENCE),12/09/2025,1.6,0.0, ,15.6,2.4,98,59,1.06,11.89
PUCKAPUNYAL LYON HILL (DEFENCE),13/09/2025,2.2,0.0, ,17.8,6.0,97,49,1.65,13.48
PUCKAPUNYAL LYON HILL (DEFENCE),14/09/2025,3.2,0.0, ,19.7,8.4,89,43,3.57,16.16
PUCKAPUNYAL LYON HILL (DEFENCE),15/09/2025,5.3,0.0, ,23.6,8.8,83,26,6.21,18.89
PUCKAPUNYAL LYON HILL (DEFENCE),16/09/2025,2.3,3.0, ,12.7,11.8,95,31,4.34,5.93
PUCKAPUNYAL LYON HILL (DEFENCE),17/09/2025,2.0,4.0, ,14.2,5.8,96,48,2.36,11.58
PUCKAPUNYAL LYON HILL (DEFENCE),18/09/2025,3.0,0.2, ,18.1,5.2,93,42,3.18,17.77
PUCKAPUNYAL LYON HILL (DEFENCE),19/09/2025,4.0,0.0, ,20.9,7.9,80,40,5.89,14.01
PUCKAPUNYAL LYON HILL (DEFENCE),20/09/2025,3.0,0.0, ,15.4,5.1,88,41,4.14,17.58
PUCKAPUNYAL LYON HILL (DEFENCE),21/09/2025,1.6,0.0, ,14.5,8.3,91,72,3.79,6.73
PUCKAPUNYAL LYON HILL (DEFENCE),22/09/2025,2.8,4.0, ,13.8,5.3,92,40,4.05,16.52
PUCKAPUNYAL LYON HILL (DEFENCE),23/09/2025,2.5,0.0, ,16.9,4.9,90,54,2.40,16.25
PUCKAPUNYAL LYON HILL (DEFENCE),24/09/2025,2.4,0.0, ,17.9,7.7,94,50,2.62,12.46
PUCKAPUNYAL LYON HILL (DEFENCE),25/09/2025,2.0,0.0, ,16.0,6.7,97,57,2.90,9.94
PUCKAPUNYAL LYON HILL (DEFENCE),26/09/2025,4.7,0.0, ,23.1,9.4,84,27,5.19,15.43
PUCKAPUNYAL LYON HILL (DEFENCE),27/09/2025,3.1,0.0, ,17.7,5.0,99,45,2.88,20.08
PUCKAPUNYAL LYON HILL (DEFENCE),28/09/2025,3.2,0.0, ,17.8,7.4,83,36,2.50,17.95
PUCKAPUNYAL LYON HILL (DEFENCE),29/09/2025,4.0,0.0, ,20.9,4.7,90,38,4.03,21.43
PUCKAPUNYAL LYON HILL (DEFENCE),30/09/2025,3.7,0.0, ,20.6,12.3,85,36,4.54,12.76
Totals:,,79.9,20.2, ,,,,,, 
