'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/10/2025,2.6,0.0, ,16.6,6.5,90,52,4.15,11.99
PUCKAPUNYAL LYON HILL (DEFENCE),02/10/2025,3.4,1.0, ,16.0,7.4,86,45,6.41,16.26
PUCKAPUNYAL LYON HILL (DEFENCE),03/10/2025,3.3,0.0, ,20.3,8.1,85,47,3.07,16.34
PUCKAPUNYAL LYON HILL (DEFENCE),04/10/2025,3.9,0.0, ,23.8,7.0,98,36,2.29,21.90
PUCKAPUNYAL LYON HILL (DEFENCE),05/10/2025,6.2,0.0, ,30.6,10.7,84,15,4.13,17.45
PUCKAPUNYAL LYON HILL (DEFENCE),06/10/2025,3.0,0.6, ,16.9,10.5,89,37,3.42,13.15
PUCKAPUNYAL LYON HILL (DEFENCE),07/10/2025,3.7,0.2, ,18.8,2.5,95,38,3.49,22.66
PUCKAPUNYAL LYON HILL (DEFENCE),08/10/2025,4.0,0.0, ,22.8,7.7,74,37,3.23,17.09
PUCKAPUNYAL LYON HILL (DEFENCE),09/10/2025,4.4,0.0, ,20.9,8.3,85,32,4.67,19.32
PUCKAPUNYAL LYON HILL (DEFENCE),10/10/2025,6.0,0.0, ,23.3,9.0,68,30,6.76,22.57
PUCKAPUNYAL LYON HILL (DEFENCE),11/10/2025,4.2,0.0, ,21.5,8.5,90,34,4.38,17.24
PUCKAPUNYAL LYON HILL (DEFENCE),12/10/2025,3.2,0.0, ,18.6,6.0,93,42,3.96,14.76
PUCKAPUNYAL LYON HILL (DEFENCE),13/10/2025,3.5,0.8, ,18.4,4.7,87,34,2.09,22.23
PUCKAPUNYAL LYON HILL (DEFENCE),14/10/2025,4.1, , ,21.8,3.1,90,33,2.44,23.66
Totals:,,55.5,2.6, ,,,,,, 
