'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/08/2025,1.7,0.0, ,12.9,3.8,89,55,3.80,11.95
PUCKAPUNYAL WEST (DEFENCE),02/08/2025,1.7,0.0, ,14.1,5.3,94,55,3.98,12.07
PUCKAPUNYAL WEST (DEFENCE),03/08/2025,1.5,0.0, ,17.6,4.3,90,34,1.34,12.19
PUCKAPUNYAL WEST (DEFENCE),04/08/2025,1.7,0.0, ,16.8,4.6,95,62,3.46,11.29
PUCKAPUNYAL WEST (DEFENCE),05/08/2025,1.4,7.4, ,13.2,6.7,100,58,3.24,10.90
PUCKAPUNYAL WEST (DEFENCE),06/08/2025,1.5,0.0, ,14.5,4.3,99,48,2.36,10.23
PUCKAPUNYAL WEST (DEFENCE),07/08/2025,1.7,0.2, ,11.5,1.7,85,56,4.12,12.65
PUCKAPUNYAL WEST (DEFENCE),08/08/2025,2.0,0.0, ,13.4,6.0,91,57,5.64,12.80
PUCKAPUNYAL WEST (DEFENCE),09/08/2025,1.8,0.0, ,17.2,4.4,96,43,2.06,12.91
PUCKAPUNYAL WEST (DEFENCE),10/08/2025,1.8,0.0, ,17.1,5.1,90,37,1.63,13.04
PUCKAPUNYAL WEST (DEFENCE),11/08/2025,1.5,0.0, ,15.9,4.8,95,49,1.48,12.82
PUCKAPUNYAL WEST (DEFENCE),12/08/2025,0.9,0.0, ,10.1,5.5,100,72,1.08,6.27
PUCKAPUNYAL WEST (DEFENCE),13/08/2025,1.5,9.4, ,14.4,4.3,100,55,2.31,12.19
PUCKAPUNYAL WEST (DEFENCE),14/08/2025,2.2,0.0, ,16.0,5.2,92,35,2.86,13.60
PUCKAPUNYAL WEST (DEFENCE),15/08/2025,1.3,0.0, ,13.2,3.5,99,64,2.54,7.86
PUCKAPUNYAL WEST (DEFENCE),16/08/2025,1.6,2.4, ,11.6,3.4,99,50,2.84,12.32
PUCKAPUNYAL WEST (DEFENCE),17/08/2025,0.8,0.2, ,8.7,2.3,97,79,1.45,7.08
PUCKAPUNYAL WEST (DEFENCE),18/08/2025,1.9,0.2, ,10.9,4.2,86,58,5.14,12.90
PUCKAPUNYAL WEST (DEFENCE),19/08/2025,2.2,0.0, ,14.7,3.9,79,42,2.88,14.19
PUCKAPUNYAL WEST (DEFENCE),20/08/2025,2.2,0.0, ,16.7,3.0,81,34,2.22,14.48
PUCKAPUNYAL WEST (DEFENCE),21/08/2025,2.3,0.0, ,19.1,5.8,74,40,1.91,14.41
PUCKAPUNYAL WEST (DEFENCE),22/08/2025,1.5,0.0, ,15.9,9.9,99,65,1.74,9.86
PUCKAPUNYAL WEST (DEFENCE),23/08/2025,1.9,0.2, ,15.2,5.3,100,58,3.57,12.75
PUCKAPUNYAL WEST (DEFENCE),24/08/2025,2.4,0.0, ,14.3,5.3,91,47,4.45,15.08
PUCKAPUNYAL WEST (DEFENCE),25/08/2025,2.0,0.0, ,16.0,3.7,96,38,1.82,13.80
PUCKAPUNYAL WEST (DEFENCE),26/08/2025,1.1,6.2, ,11.0,9.1,99,64,2.39,3.90
PUCKAPUNYAL WEST (DEFENCE),27/08/2025,2.0,32.8, ,13.3,7.7,100,57,6.26,11.18
PUCKAPUNYAL WEST (DEFENCE),28/08/2025,1.8,6.4, ,13.5,6.8,98,61,5.44,9.86
PUCKAPUNYAL WEST (DEFENCE),29/08/2025,1.6,6.0, ,10.1,6.1,99,57,6.72,6.51
PUCKAPUNYAL WEST (DEFENCE),30/08/2025,2.2,18.2, ,11.4,4.9,91,54,7.24,12.57
PUCKAPUNYAL WEST (DEFENCE),31/08/2025,1.6,0.0, ,14.2,5.6,97,61,2.56,9.36
Totals:,,53.3,89.6, ,,,,,, 
