'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/09/2025,2.0,0.2, ,15.5,1.3,99,47,2.03,13.79
PUCKAPUNYAL WEST (DEFENCE),02/09/2025, ,0.0, , ,5.2,99,51,2.50,11.49
PUCKAPUNYAL WEST (DEFENCE),03/09/2025,2.3, , ,16.8,5.6,88,53,3.20,13.02
PUCKAPUNYAL WEST (DEFENCE),04/09/2025,2.0,1.4, ,14.5,5.6,94,55,3.09,12.40
PUCKAPUNYAL WEST (DEFENCE),05/09/2025,2.4,2.8, ,13.5,0.6,94,43,3.34,16.96
PUCKAPUNYAL WEST (DEFENCE),06/09/2025,2.3,0.0, ,17.6,2.7,89,58,2.59,16.85
PUCKAPUNYAL WEST (DEFENCE),07/09/2025,1.5,0.2, ,14.9,10.2,99,60,3.82,3.72
PUCKAPUNYAL WEST (DEFENCE),08/09/2025,2.1,14.6, ,16.8,7.5,100,57,2.79,12.89
PUCKAPUNYAL WEST (DEFENCE),09/09/2025,2.3,0.2, ,16.3,5.0,90,55,3.01,14.88
PUCKAPUNYAL WEST (DEFENCE),10/09/2025,2.2,0.0, ,12.0,6.1,88,61,9.20,10.44
PUCKAPUNYAL WEST (DEFENCE),11/09/2025,2.6,0.0, ,14.4,7.0,97,48,5.44,14.57
PUCKAPUNYAL WEST (DEFENCE),12/09/2025,1.9,0.0, ,15.3,2.9,90,54,1.71,12.08
PUCKAPUNYAL WEST (DEFENCE),13/09/2025,2.3,0.0, ,17.8,5.8,99,52,1.65,15.65
PUCKAPUNYAL WEST (DEFENCE),14/09/2025,3.0,0.0, ,18.4,6.9,94,45,3.36,17.40
PUCKAPUNYAL WEST (DEFENCE),15/09/2025,5.1,0.0, ,22.9,7.6,82,26,5.91,18.86
PUCKAPUNYAL WEST (DEFENCE),16/09/2025,2.0,5.6, ,12.2,11.1,98,36,4.03,5.36
PUCKAPUNYAL WEST (DEFENCE),17/09/2025,2.1,3.2, ,13.1,6.0,94,51,2.75,12.67
PUCKAPUNYAL WEST (DEFENCE),18/09/2025,2.8,0.4, ,17.5,4.2,94,44,2.49,18.24
PUCKAPUNYAL WEST (DEFENCE),19/09/2025,3.9,0.2, ,20.9,6.6,90,36,4.88,15.91
PUCKAPUNYAL WEST (DEFENCE),20/09/2025,2.8,1.0, ,14.2,5.2,88,42,4.02,16.74
PUCKAPUNYAL WEST (DEFENCE),21/09/2025,1.9,0.0, ,14.1,7.7,92,68,4.52,10.35
PUCKAPUNYAL WEST (DEFENCE),22/09/2025,3.0,3.0, ,13.5,5.1,83,43,5.23,17.16
PUCKAPUNYAL WEST (DEFENCE),23/09/2025,2.2,0.0, ,15.2,3.8,90,58,2.23,14.91
PUCKAPUNYAL WEST (DEFENCE),24/09/2025,2.6,0.2, ,17.5,7.8,93,56,3.10,15.84
PUCKAPUNYAL WEST (DEFENCE),25/09/2025,2.1,0.0, ,15.6,7.6,95,59,3.00,10.78
PUCKAPUNYAL WEST (DEFENCE),26/09/2025,3.8,0.0, ,21.3,7.2,92,31,3.91,14.73
PUCKAPUNYAL WEST (DEFENCE),27/09/2025,3.0,0.0, ,17.4,4.2,99,47,2.95,20.15
PUCKAPUNYAL WEST (DEFENCE),28/09/2025,3.0,0.0, ,16.9,4.6,88,40,2.85,17.44
PUCKAPUNYAL WEST (DEFENCE),29/09/2025,3.6,0.0, ,19.9,4.9,83,42,3.07,21.17
PUCKAPUNYAL WEST (DEFENCE),30/09/2025,3.2,0.0, ,19.0,12.0,92,39,3.74,13.65
Totals:,,76,33, ,,,,,, 
