'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/08/2025,1.0,0.0, ,7.1,2.4,97,73,5.68,10.43
PYRENEES (BEN NEVIS),02/08/2025,1.6,0.0, ,11.7,3.1,94,51,3.54,11.98
PYRENEES (BEN NEVIS),03/08/2025,2.0,0.0, ,12.7,4.4,81,51,4.90,12.04
PYRENEES (BEN NEVIS),04/08/2025,1.9,0.0, ,12.3,6.1,99,58,9.47,10.99
PYRENEES (BEN NEVIS),05/08/2025,0.8,6.6, ,8.3,3.1,100,84,3.14,7.99
PYRENEES (BEN NEVIS),06/08/2025,1.1,0.6, ,8.4,3.6,100,71,4.61,9.81
PYRENEES (BEN NEVIS),07/08/2025,1.0,0.0, ,5.6,1.0,91,72,3.64,9.60
PYRENEES (BEN NEVIS),08/08/2025,1.3,0.0, ,9.5,2.3,97,70,4.65,12.70
PYRENEES (BEN NEVIS),09/08/2025,1.7,0.2, ,12.1,4.3,84,56,3.46,12.84
PYRENEES (BEN NEVIS),10/08/2025,2.1,0.0, ,12.4,7.0,78,54,4.82,12.91
PYRENEES (BEN NEVIS),11/08/2025,2.1,0.0, ,12.8,6.7,87,55,6.12,13.11
PYRENEES (BEN NEVIS),12/08/2025,1.1,2.0, ,7.9,5.6,99,70,5.94,5.51
PYRENEES (BEN NEVIS),13/08/2025,1.1,15.4, ,8.7,3.9,100,75,4.97,11.73
PYRENEES (BEN NEVIS),14/08/2025,2.3,1.0, ,13.0,4.5,78,49,4.80,13.49
PYRENEES (BEN NEVIS),15/08/2025,1.1,0.0, ,7.2,6.0,99,69,6.16,5.19
PYRENEES (BEN NEVIS),16/08/2025,1.2,1.4, ,6.5,0.4,99,66,5.23,12.34
PYRENEES (BEN NEVIS),17/08/2025,0.6,2.2, ,5.8,1.1,100,96,3.50,8.65
PYRENEES (BEN NEVIS),18/08/2025,0.9,1.2, ,5.3,1.3,99,78,4.09,8.67
PYRENEES (BEN NEVIS),19/08/2025,1.7,0.0, ,9.3,0.8,93,57,4.58,14.09
PYRENEES (BEN NEVIS),20/08/2025,2.4,0.0, ,13.7,3.1,78,50,4.87,14.40
PYRENEES (BEN NEVIS),21/08/2025,2.9,0.0, ,14.9,7.1,75,47,5.90,14.54
PYRENEES (BEN NEVIS),22/08/2025,1.3,0.0, ,10.8,7.8,96,72,4.84,6.87
PYRENEES (BEN NEVIS),23/08/2025,1.5,0.4, ,9.9,5.2,99,68,4.74,12.41
PYRENEES (BEN NEVIS),24/08/2025,1.9,0.0, ,12.4,2.9,88,61,3.43,15.03
PYRENEES (BEN NEVIS),25/08/2025,2.9,0.0, ,12.7,4.5,78,33,5.83,11.53
PYRENEES (BEN NEVIS),26/08/2025,1.4,3.6, ,7.6,7.2,99,58,7.32,3.75
PYRENEES (BEN NEVIS),27/08/2025,1.1,20.4, ,7.9,4.0,100,79,5.28,10.33
PYRENEES (BEN NEVIS),28/08/2025,0.8,9.8, ,6.9,2.9,100,92,4.00,9.28
PYRENEES (BEN NEVIS),29/08/2025,0.5,5.2, ,4.6,3.6,100,99,5.68,6.42
PYRENEES (BEN NEVIS),30/08/2025,1.1,17.8, ,6.0,-0.4,100,77,9.28,12.23
PYRENEES (BEN NEVIS),31/08/2025,1.1,1.0, ,9.7,0.5,100,85,5.08,11.28
Totals:,,45.5,88.8, ,,,,,, 
