'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/09/2025,1.4,0.6, ,9.6,3.4,99,72,2.96,12.60
PYRENEES (BEN NEVIS),02/09/2025,1.4,0.0, ,10.5,4.4,99,71,3.70,9.96
PYRENEES (BEN NEVIS),03/09/2025,1.8,0.2, ,12.5,4.7,99,57,3.57,12.36
PYRENEES (BEN NEVIS),04/09/2025,1.3,0.4, ,8.4,3.5,100,72,5.36,10.18
PYRENEES (BEN NEVIS),05/09/2025,1.9,2.6, ,9.1,0.8,95,58,4.78,16.94
PYRENEES (BEN NEVIS),06/09/2025,3.5,0.0, ,16.2,2.9,83,43,9.19,14.04
PYRENEES (BEN NEVIS),07/09/2025,2.4,0.2, ,14.3,7.4,98,52,10.66,4.20
PYRENEES (BEN NEVIS),08/09/2025,1.8,5.0, ,13.2,5.7,99,66,3.90,12.85
PYRENEES (BEN NEVIS),09/09/2025,1.9,0.0, ,12.1,4.9,99,65,4.91,14.06
PYRENEES (BEN NEVIS),10/09/2025,1.3,0.2, ,7.9,2.9,99,77,5.63,11.50
PYRENEES (BEN NEVIS),11/09/2025,0.9,1.0, ,7.9,2.5,100,91,7.46,10.84
PYRENEES (BEN NEVIS),12/09/2025,1.6,1.0, ,11.8,2.7,100,71,6.05,12.16
PYRENEES (BEN NEVIS),13/09/2025,1.9,0.4, ,13.7,5.0,99,71,3.27,15.07
PYRENEES (BEN NEVIS),14/09/2025,3.1,0.0, ,15.6,6.7,85,51,6.06,18.38
PYRENEES (BEN NEVIS),15/09/2025,4.8,0.0, ,19.7,9.6,73,32,7.32,18.75
PYRENEES (BEN NEVIS),16/09/2025,1.6,1.2, ,12.0,6.5,100,66,3.74,10.26
PYRENEES (BEN NEVIS),17/09/2025,1.7,2.4, ,9.6,2.0,99,67,4.37,14.33
PYRENEES (BEN NEVIS),18/09/2025,2.9,0.2, ,15.0,3.8,91,46,4.72,17.94
PYRENEES (BEN NEVIS),19/09/2025,3.2,0.4, ,15.9,8.2,98,42,6.01,16.25
PYRENEES (BEN NEVIS),20/09/2025,1.9,1.2, ,10.2,1.3,99,62,7.09,14.31
PYRENEES (BEN NEVIS),21/09/2025,0.9,0.8, ,9.0,3.7,100,95,5.28,9.21
PYRENEES (BEN NEVIS),22/09/2025,1.8,2.2, ,8.7,2.3,100,65,7.51,15.14
PYRENEES (BEN NEVIS),23/09/2025,1.5,0.4, ,10.8,2.9,100,77,5.26,12.60
PYRENEES (BEN NEVIS),24/09/2025,1.4,0.2, ,11.1,5.0,99,80,5.98,10.11
PYRENEES (BEN NEVIS),25/09/2025,1.5,0.2, ,11.3,4.8,99,79,3.53,11.19
PYRENEES (BEN NEVIS),26/09/2025,2.6,0.0, ,16.8,6.1,97,50,4.49,12.04
PYRENEES (BEN NEVIS),27/09/2025,2.1,0.2, ,11.9,2.8,99,57,3.51,15.12
PYRENEES (BEN NEVIS),28/09/2025, ,0.2, , ,3.5,99,49,4.13,18.73
PYRENEES (BEN NEVIS),29/09/2025,3.7, , ,17.8,5.1,75,46,5.89,17.00
PYRENEES (BEN NEVIS),30/09/2025,2.7,5.2, ,14.5,7.6,99,44,5.02,13.22
Totals:,,60.5,26.4, ,,,,,, 
