'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/10/2025,1.6,5.4, ,10.5,3.7,100,71,4.03,11.12
PYRENEES (BEN NEVIS),02/10/2025,1.3,5.6, ,8.0,1.8,100,80,5.53,11.96
PYRENEES (BEN NEVIS),03/10/2025,1.8,0.4, ,13.5,3.2,99,77,6.10,14.19
PYRENEES (BEN NEVIS),04/10/2025,3.8,0.2, ,18.4,7.0,97,41,4.04,22.26
PYRENEES (BEN NEVIS),05/10/2025,4.2,0.0, ,21.1,11.3,99,30,5.99,13.10
PYRENEES (BEN NEVIS),06/10/2025,2.4,4.2, ,11.3,4.0,99,55,7.47,16.04
PYRENEES (BEN NEVIS),07/10/2025,1.9,0.0, ,9.9,2.0,90,68,3.02,15.07
PYRENEES (BEN NEVIS),08/10/2025,2.4,0.0, ,14.2,4.4,96,61,3.53,15.06
PYRENEES (BEN NEVIS),09/10/2025,2.3,0.0, ,14.1,4.6,99,57,3.55,14.35
PYRENEES (BEN NEVIS),10/10/2025,2.0,0.0, ,13.3,4.5,99,61,4.71,10.91
PYRENEES (BEN NEVIS),11/10/2025,2.7,0.2, ,14.7,5.5,99,50,3.86,15.84
PYRENEES (BEN NEVIS),12/10/2025,1.8,1.6, ,11.8,4.6,99,71,5.18,11.68
PYRENEES (BEN NEVIS),13/10/2025,2.9,3.8, ,12.6,0.9,100,51,3.43,23.20
PYRENEES (BEN NEVIS),14/10/2025,3.1,0.0, ,15.4,2.6,97,54,3.94,22.58
Totals:,,34.2,21.4, ,,,,,, 
