'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/09/2025,1.7,0.0, ,15.9,1.1,100,49,0.77,14.69
REDESDALE,02/09/2025,1.9,0.2, ,16.0,3.1,100,54,2.14,12.34
REDESDALE,03/09/2025,2.4,0.0, ,17.6,6.5,91,50,2.71,15.16
REDESDALE,04/09/2025,1.9,0.0, ,14.7,6.2,94,58,2.55,12.84
REDESDALE,05/09/2025,2.3,4.2, ,14.8,-0.3,95,37,2.06,16.96
REDESDALE,06/09/2025,2.5,0.0, ,19.1,-0.2,94,50,2.28,16.75
REDESDALE,07/09/2025,1.3,2.0, ,14.9,10.7,98,67,3.00,4.76
REDESDALE,08/09/2025,2.0,16.8, ,17.6,4.3,100,58,2.32,12.97
REDESDALE,09/09/2025,2.1,0.2, ,17.7,3.0,98,49,1.70,14.05
REDESDALE,10/09/2025,2.2,0.0, ,13.1,4.8,89,62,5.59,13.33
REDESDALE,11/09/2025,2.6,0.0, ,16.3,6.8,97,44,3.64,14.54
REDESDALE,12/09/2025,1.9,0.2, ,17.5,0.9,99,54,1.31,13.65
REDESDALE,13/09/2025,2.2,0.2, ,18.6,5.0,99,50,1.07,16.37
REDESDALE,14/09/2025,2.8,0.0, ,20.1,4.8,99,45,2.56,16.95
REDESDALE,15/09/2025,4.4,0.0, ,23.2,4.2,91,28,4.27,18.92
REDESDALE,16/09/2025,2.0,5.2, ,14.2,11.2,98,41,2.97,7.17
REDESDALE,17/09/2025,1.9,5.4, ,14.5,5.2,97,54,2.01,11.83
REDESDALE,18/09/2025,2.8,0.0, ,18.7,1.7,99,44,2.36,17.86
REDESDALE,19/09/2025,3.5,0.2, ,21.5,5.4,93,39,3.20,17.65
REDESDALE,20/09/2025,2.5,1.4, ,15.7,4.6,96,45,2.43,16.23
REDESDALE,21/09/2025,1.8,0.4, ,16.0,7.9,98,73,2.90,11.30
REDESDALE,22/09/2025,2.5,0.2, ,14.5,2.3,96,52,3.38,17.40
REDESDALE,23/09/2025,2.1,0.2, ,16.4,1.5,99,55,1.14,15.30
REDESDALE,24/09/2025,2.3,0.0, ,17.7,5.2,99,57,1.82,15.46
REDESDALE,25/09/2025,2.0,0.0, ,16.5,6.7,97,61,2.05,12.22
REDESDALE,26/09/2025,3.0,0.0, ,22.5,7.3,95,36,2.24,13.68
REDESDALE,27/09/2025,2.8,0.0, ,17.6,0.7,100,48,1.84,20.70
REDESDALE,28/09/2025,2.7,0.0, ,17.9,2.9,98,38,1.43,18.90
REDESDALE,29/09/2025,3.5,0.0, ,20.8,1.7,96,41,2.59,21.15
REDESDALE,30/09/2025,3.1,0.6, ,19.9,12.0,93,39,2.40,15.94
Totals:,,72.7,37.4, ,,,,,, 
