'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/08/2025, ,0.0, , ,6.6,91,68,3.54,11.12
RHYLL,02/08/2025, ,0.2, , , ,100,69,4.20,11.05
RHYLL,03/08/2025, ,0.0, , , ,100,65,2.10,11.51
RHYLL,04/08/2025, ,0.2, , , ,100,52,5.00,10.05
RHYLL,05/08/2025,2.0, , ,15.8,10.0,84,56,4.40,10.85
RHYLL,06/08/2025,1.7,0.6, ,13.5,10.0,90,55,3.74,10.18
RHYLL,07/08/2025,1.2,1.8, ,13.7,8.9,91,61,1.57,10.67
RHYLL,08/08/2025,1.1,0.8, ,14.5,8.1,94,75,2.22,8.55
RHYLL,09/08/2025, ,0.2, , ,6.6,90,60,2.69,12.30
RHYLL,10/08/2025,1.5,0.0, ,16.2,7.5,95,66,2.43,12.07
RHYLL,11/08/2025, ,0.2, , ,6.6,100,57,2.45,12.56
RHYLL,12/08/2025,1.7,0.0, ,15.3,8.7,93,55,3.61,8.18
RHYLL,13/08/2025,1.4,7.8, ,14.2,9.3,93,60,1.93,9.85
RHYLL,14/08/2025, ,1.2, , ,7.6,93,62,2.49,12.96
RHYLL,15/08/2025, , , ,14.9, ,89,59,7.18,7.16
RHYLL,16/08/2025,1.5,7.6, ,11.8,6.3,91,53,2.48,11.91
RHYLL,17/08/2025,1.7,10.8, ,14.2,6.2,90,58,2.64,12.63
RHYLL,18/08/2025, ,0.0, , ,6.8,82,49,2.25,9.42
RHYLL,19/08/2025,1.8,0.0, ,14.8,4.8,100,57,3.28,13.58
RHYLL,20/08/2025,1.7,0.0, ,15.7,6.0,93,57,2.21,13.86
RHYLL,21/08/2025,1.8,0.0, ,18.4,6.8,92,56,1.50,14.02
RHYLL,22/08/2025,1.7, , ,16.6,9.9,91,66,3.27,8.69
RHYLL,23/08/2025,1.8,0.0, ,15.9,10.9,90,53,2.13,11.54
RHYLL,24/08/2025,2.0,0.0, ,15.1,6.7,87,56,3.41,13.40
RHYLL,25/08/2025,1.9,0.0, ,16.6,7.8,91,55,2.56,12.18
RHYLL,26/08/2025,2.5,1.6, ,16.6,9.5,92,52,7.26,4.07
RHYLL,27/08/2025,2.4,9.6, ,15.2,10.3,90,52,5.70,9.79
RHYLL,28/08/2025,2.1,1.2, ,14.1,9.3,84,60,3.82,13.09
RHYLL,29/08/2025,2.3,1.2, ,13.6,9.8,85,64,8.23,10.89
RHYLL,30/08/2025,2.3,7.8, ,12.7,6.6,92,54,6.86,12.76
RHYLL,31/08/2025,1.7,7.2, ,15.8,7.2,92,63,2.16,10.46
Totals:,,39.8,60, ,,,,,, 
