'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/09/2025,1.9,0.6, ,16.3,9.1,89,60,1.86,12.82
RHYLL,02/09/2025,2.4, , ,16.1,10.3,92,56,5.39,11.47
RHYLL,03/09/2025,2.4,4.2, ,16.2,10.5,90,46,3.52,11.24
RHYLL,04/09/2025,1.9,1.4, ,13.1,9.2,85,58,3.83,8.15
RHYLL,05/09/2025,2.5,2.0, ,16.0,7.8,81,53,3.16,16.35
RHYLL,06/09/2025,3.0, , ,19.2,6.6,83,48,3.70,16.44
RHYLL,07/09/2025,3.1,0.0, ,20.0,11.4,87,52,7.13,8.51
RHYLL,08/09/2025,2.4,6.8, ,18.1,12.4,88,58,3.12,12.60
RHYLL,09/09/2025,2.3,1.4, ,14.6,10.4,90,48,3.01,13.73
RHYLL,10/09/2025,2.0, , ,13.6,7.9,92,64,4.30,12.65
RHYLL,11/09/2025,2.4,1.6, ,14.6,10.0,87,58,4.13,15.30
RHYLL,12/09/2025,2.1,0.8, ,16.1,9.1,90,61,2.48,12.73
RHYLL,13/09/2025,1.6,0.6, ,16.2,11.1,93,75,1.47,10.19
RHYLL,14/09/2025,3.3,0.2, ,19.2,10.6,93,52,5.98,18.09
RHYLL,15/09/2025,6.1,0.0, ,22.4,14.4,65,35,10.26,16.99
RHYLL,16/09/2025,2.4,0.4, ,19.0,13.3,89,47,2.67,9.33
RHYLL,17/09/2025, ,1.0, , ,9.6,79,49,3.64,15.50
RHYLL,18/09/2025, ,0.2, , , ,100,51,5.22,17.89
RHYLL,19/09/2025, ,0.0, ,19.8, ,86,41,7.94,15.09
RHYLL,20/09/2025,2.0,13.2, ,13.4,6.1,87,62,3.53,12.33
RHYLL,21/09/2025, ,1.6, , ,8.2,90,68,4.05,6.91
RHYLL,22/09/2025,2.7,7.8, ,14.1,7.7,89,50,4.60,16.48
RHYLL,23/09/2025,2.0,1.0, ,15.1,9.7,85,65,2.44,11.18
RHYLL,24/09/2025,2.5,0.6, ,15.8,11.1,91,61,3.02,15.97
RHYLL,25/09/2025,1.8,1.0, ,15.0,11.7,87,69,3.08,7.85
RHYLL,26/09/2025,2.4,1.6, ,18.5,12.3,92,50,4.14,5.74
RHYLL,27/09/2025, ,5.2, , ,11.0,83,45,2.98,16.32
RHYLL,28/09/2025, ,0.8, , , ,100,65,2.21,14.26
RHYLL,29/09/2025, ,0.0, , , ,100,45,3.10,19.57
RHYLL,30/09/2025, ,3.4, ,18.0, ,91,64,2.94,6.78
Totals:,,55.2,57.4, ,,,,,, 
