'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/08/2025,1.1,0.4, ,14.3,-1.8,100,41,0.81,12.07
RUTHERGLEN RESEARCH,02/08/2025,1.4,0.0, ,17.3,-0.6,100,43,1.16,12.50
RUTHERGLEN RESEARCH,03/08/2025,1.2,0.0, ,18.3,-1.3,100,43,0.64,12.61
RUTHERGLEN RESEARCH,04/08/2025,1.6,0.0, ,18.4,0.2,100,60,2.44,12.16
RUTHERGLEN RESEARCH,05/08/2025,1.3,3.2, ,14.3,7.0,100,65,2.17,11.60
RUTHERGLEN RESEARCH,06/08/2025,1.1,0.0, ,15.1,1.5,100,71,1.31,9.64
RUTHERGLEN RESEARCH,07/08/2025,1.2,0.0, ,14.4,-0.3,100,53,0.85,12.18
RUTHERGLEN RESEARCH,08/08/2025,1.4,0.2, ,17.2,-2.0,100,44,0.98,13.20
RUTHERGLEN RESEARCH,09/08/2025,1.2,0.0, ,17.2,-0.6,100,36,0.56,13.29
RUTHERGLEN RESEARCH,10/08/2025,1.3,0.2, ,16.9,-0.6,100,46,0.66,13.48
RUTHERGLEN RESEARCH,11/08/2025,1.3,0.0, ,17.6,-0.3,100,46,0.50,13.60
RUTHERGLEN RESEARCH,12/08/2025,1.4,0.0, ,17.4,-0.7,100,50,1.03,12.95
RUTHERGLEN RESEARCH,13/08/2025,1.3,2.8, ,15.3,7.8,100,59,1.25,10.17
RUTHERGLEN RESEARCH,14/08/2025,1.4,0.0, ,16.7,-0.5,100,50,0.92,14.02
RUTHERGLEN RESEARCH,15/08/2025,1.4,0.2, ,15.4,1.3,100,64,2.10,10.82
RUTHERGLEN RESEARCH,16/08/2025,1.5,0.6, ,12.4,5.5,100,58,3.01,9.85
RUTHERGLEN RESEARCH,17/08/2025,1.1,0.2, ,11.1,-1.4,100,66,1.20,9.83
RUTHERGLEN RESEARCH,18/08/2025,1.4,0.0, ,13.3,-2.4,100,48,0.93,14.57
RUTHERGLEN RESEARCH,19/08/2025,1.5,0.2, ,15.8,-2.9,100,39,0.86,14.60
RUTHERGLEN RESEARCH,20/08/2025,1.6,0.0, ,18.8,-2.3,99,44,0.77,14.87
RUTHERGLEN RESEARCH,21/08/2025,1.7,0.0, ,19.8,0.4,100,47,0.85,13.48
RUTHERGLEN RESEARCH,22/08/2025,1.4,0.0, ,16.9,4.1,100,66,1.29,10.28
RUTHERGLEN RESEARCH,23/08/2025,2.0,0.0, ,17.7,1.8,100,49,1.82,15.25
RUTHERGLEN RESEARCH,24/08/2025,1.7,0.0, ,16.3,-0.7,100,49,0.98,15.48
RUTHERGLEN RESEARCH,25/08/2025,1.8,0.0, ,18.6,-1.3,100,48,0.99,15.40
RUTHERGLEN RESEARCH,26/08/2025,1.7,0.0, ,17.5,6.8,97,61,3.01,7.39
RUTHERGLEN RESEARCH,27/08/2025,1.7,9.6, ,13.5,8.7,96,68,5.03,10.25
RUTHERGLEN RESEARCH,28/08/2025,1.8,0.4, ,13.6,5.5,96,62,4.04,11.23
RUTHERGLEN RESEARCH,29/08/2025,2.0,4.4, ,14.4,5.5,99,52,4.01,9.96
RUTHERGLEN RESEARCH,30/08/2025,2.4,4.0, ,12.5,5.3,99,47,6.29,16.33
RUTHERGLEN RESEARCH,31/08/2025,1.5,0.2, ,14.0,1.7,99,63,1.48,11.91
Totals:,,46.4,26.6, ,,,,,, 
