'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/09/2025,1.5,0.0, ,14.3,1.4,100,59,1.15,12.18
RUTHERGLEN RESEARCH,02/09/2025,1.7,0.0, ,14.9,-0.4,100,51,1.41,12.23
RUTHERGLEN RESEARCH,03/09/2025,2.6,0.0, ,19.5,5.5,92,39,2.45,14.66
RUTHERGLEN RESEARCH,04/09/2025,1.6,0.0, ,15.2,3.6,99,63,1.72,11.84
RUTHERGLEN RESEARCH,05/09/2025,1.9,3.0, ,16.2,-3.0,100,39,0.89,17.27
RUTHERGLEN RESEARCH,06/09/2025,2.5,0.0, ,19.1,0.3,100,55,2.68,17.46
RUTHERGLEN RESEARCH,07/09/2025,2.2,0.0, ,18.2,9.9,89,60,4.71,7.21
RUTHERGLEN RESEARCH,08/09/2025,3.0,7.0, ,20.4,12.4,99,39,2.30,17.87
RUTHERGLEN RESEARCH,09/09/2025,2.2,0.0, ,18.0,1.3,100,44,1.06,18.07
RUTHERGLEN RESEARCH,10/09/2025,1.1,0.0, ,12.9,3.9,100,74,2.01,5.65
RUTHERGLEN RESEARCH,11/09/2025,2.7,31.0, ,16.1,3.5,99,48,3.77,18.50
RUTHERGLEN RESEARCH,12/09/2025,2.2,0.0, ,16.1,0.2,99,56,2.50,16.60
RUTHERGLEN RESEARCH,13/09/2025,2.2,0.0, ,18.1,1.4,100,54,1.18,16.76
RUTHERGLEN RESEARCH,14/09/2025,2.3,0.0, ,18.8,3.4,100,52,1.96,14.53
RUTHERGLEN RESEARCH,15/09/2025,3.4,0.0, ,21.6,5.3,95,48,3.62,19.25
RUTHERGLEN RESEARCH,16/09/2025,1.6,0.0, ,15.1,14.1,100,58,2.14,6.58
RUTHERGLEN RESEARCH,17/09/2025, ,4.2, , ,4.9,100,53,1.92,16.61
RUTHERGLEN RESEARCH,18/09/2025, , , ,17.9, ,100,43,1.62,19.23
RUTHERGLEN RESEARCH,19/09/2025,2.4,0.0, ,18.8,3.1,99,63,3.07,15.22
RUTHERGLEN RESEARCH,20/09/2025,2.4,1.0, ,14.0,4.8,99,53,4.32,16.35
RUTHERGLEN RESEARCH,21/09/2025,1.7,0.0, ,14.9,8.7,98,68,2.34,9.95
RUTHERGLEN RESEARCH,22/09/2025,2.7,0.8, ,13.6,4.0,100,49,4.90,19.22
RUTHERGLEN RESEARCH,23/09/2025,2.3,0.0, ,16.1,-0.5,99,62,2.08,18.74
RUTHERGLEN RESEARCH,24/09/2025,2.2,0.0, ,16.8,1.0,100,56,1.80,14.72
RUTHERGLEN RESEARCH,25/09/2025,1.7,0.0, ,16.2,1.0,100,68,1.49,11.75
RUTHERGLEN RESEARCH,26/09/2025,4.3,0.0, ,24.4,6.9,99,27,3.03,20.31
RUTHERGLEN RESEARCH,27/09/2025,3.1,0.0, ,20.6,1.5,100,52,2.32,21.45
RUTHERGLEN RESEARCH,28/09/2025,2.7,0.4, ,17.4,3.1,100,50,1.99,19.38
RUTHERGLEN RESEARCH,29/09/2025,3.1,0.2, ,19.7,0.1,99,41,1.75,21.86
RUTHERGLEN RESEARCH,30/09/2025,2.8,0.0, ,21.6,9.0,95,50,4.17,7.67
Totals:,,66.1,47.6, ,,,,,, 
