'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/10/2025,2.7,0.0, ,17.6,1.6,100,43,2.51,15.72
RUTHERGLEN RESEARCH,02/10/2025,3.1,0.4, ,15.5,8.2,93,48,5.52,16.84
RUTHERGLEN RESEARCH,03/10/2025,2.3,0.4, ,17.3,0.9,99,59,2.40,14.96
RUTHERGLEN RESEARCH,04/10/2025,3.1,0.0, ,22.6,1.1,100,43,0.86,22.38
RUTHERGLEN RESEARCH,05/10/2025,5.0,0.0, ,29.2,4.8,99,22,2.52,22.18
RUTHERGLEN RESEARCH,06/10/2025,2.2,0.0, ,15.0,13.4,99,46,3.34,8.61
RUTHERGLEN RESEARCH,07/10/2025,3.1,0.0, ,19.1,-0.7,99,40,1.64,21.48
RUTHERGLEN RESEARCH,08/10/2025,3.3,0.2, ,23.2,2.5,97,39,2.34,15.29
RUTHERGLEN RESEARCH,09/10/2025,4.0,0.0, ,21.3,9.3,100,36,2.87,22.95
RUTHERGLEN RESEARCH,10/10/2025,4.3,0.2, ,22.9,2.6,95,31,2.84,23.86
RUTHERGLEN RESEARCH,11/10/2025,3.9,0.0, ,22.1,1.9,98,33,2.19,22.72
RUTHERGLEN RESEARCH,12/10/2025,3.4,0.0, ,19.3,1.8,99,38,3.02,18.57
RUTHERGLEN RESEARCH,13/10/2025,3.7,0.0, ,19.2,1.8,99,32,2.24,24.30
RUTHERGLEN RESEARCH,14/10/2025,3.9,0.2, ,22.2,-0.3,98,36,2.10,24.51
Totals:,,48,1.4, ,,,,,, 
