'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/08/2025,0.9,0.2, ,13.6,-0.2,98,61,1.08,10.15
SCORESBY RESEARCH INSTITUTE,02/08/2025,0.9,0.2, ,16.4,2.6,98,61,0.54,10.32
SCORESBY RESEARCH INSTITUTE,03/08/2025,1.1,0.2, ,20.0,0.2,99,27,0.48,11.83
SCORESBY RESEARCH INSTITUTE,04/08/2025,2.3,0.0, ,18.0,5.6,81,51,4.57,9.91
SCORESBY RESEARCH INSTITUTE,05/08/2025,1.9,5.6, ,16.4,9.2,90,44,2.94,9.14
SCORESBY RESEARCH INSTITUTE,06/08/2025,1.4,0.0, ,14.9,8.9,90,57,2.19,9.45
SCORESBY RESEARCH INSTITUTE,07/08/2025,0.9,0.0, ,13.1,3.9,96,62,0.56,8.41
SCORESBY RESEARCH INSTITUTE,08/08/2025,1.2,0.0, ,15.1,4.0,97,61,1.36,12.19
SCORESBY RESEARCH INSTITUTE,09/08/2025,1.3,0.0, ,17.0,3.2,98,49,0.92,12.51
SCORESBY RESEARCH INSTITUTE,10/08/2025,1.2,0.2, ,18.4,2.3,98,45,0.51,12.70
SCORESBY RESEARCH INSTITUTE,11/08/2025,1.3,0.0, ,18.2,0.2,98,38,0.74,12.82
SCORESBY RESEARCH INSTITUTE,12/08/2025,1.6,0.0, ,15.5,4.4,97,51,2.47,8.98
SCORESBY RESEARCH INSTITUTE,13/08/2025,1.1,7.2, ,14.7,4.5,99,62,0.77,9.63
SCORESBY RESEARCH INSTITUTE,14/08/2025,1.6,0.4, ,18.4,2.2,99,37,1.07,13.24
SCORESBY RESEARCH INSTITUTE,15/08/2025,1.6,0.0, ,14.6,8.0,96,55,4.05,4.62
SCORESBY RESEARCH INSTITUTE,16/08/2025,1.5,9.2, ,12.2,6.0,96,50,2.19,12.04
SCORESBY RESEARCH INSTITUTE,17/08/2025,1.5,0.2, ,14.4,3.8,88,51,1.65,9.81
SCORESBY RESEARCH INSTITUTE,18/08/2025,1.0,0.0, ,12.0,1.4,97,53,0.55,7.81
SCORESBY RESEARCH INSTITUTE,19/08/2025,1.4,0.2, ,16.9,-1.7,98,35,0.77,13.84
SCORESBY RESEARCH INSTITUTE,20/08/2025,1.5,0.0, ,18.4,0.6,96,40,0.70,14.12
SCORESBY RESEARCH INSTITUTE,21/08/2025,1.6,0.0, ,20.5,0.9,97,40,0.69,14.18
SCORESBY RESEARCH INSTITUTE,22/08/2025,1.7,0.0, ,18.5,5.7,95,57,2.02,9.30
SCORESBY RESEARCH INSTITUTE,23/08/2025,1.6,0.0, ,16.6,5.9,98,47,1.30,10.98
SCORESBY RESEARCH INSTITUTE,24/08/2025,1.6,0.0, ,16.4,1.9,98,52,1.14,14.68
SCORESBY RESEARCH INSTITUTE,25/08/2025, ,0.0, , ,1.6, , , ,13.17
SCORESBY RESEARCH INSTITUTE,26/08/2025, , , , , , , , ,5.17
SCORESBY RESEARCH INSTITUTE,27/08/2025,1.8, , ,14.8,9.4,93,55,3.77,7.68
SCORESBY RESEARCH INSTITUTE,28/08/2025,2.3,3.0, ,16.4,8.7,84,44,3.20,9.32
SCORESBY RESEARCH INSTITUTE,29/08/2025,2.1,0.4, ,13.7,8.6,80,55,4.07,9.08
SCORESBY RESEARCH INSTITUTE,30/08/2025,2.2,5.4, ,12.7,6.7,94,50,4.65,13.48
SCORESBY RESEARCH INSTITUTE,31/08/2025,1.7,0.0, ,16.2,8.9,93,56,1.56,10.47
Totals:,,43.8,32.4, ,,,,,, 
