'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/09/2025,1.9,1.8, ,17.3,5.5,96,52,1.55,12.86
SCORESBY RESEARCH INSTITUTE,02/09/2025,2.1,0.0, ,16.2,8.0,92,51,2.93,10.62
SCORESBY RESEARCH INSTITUTE,03/09/2025,2.8,0.0, ,18.1,11.0,89,36,3.41,11.91
SCORESBY RESEARCH INSTITUTE,04/09/2025,1.7,2.8, ,13.6,8.8,95,56,2.25,10.45
SCORESBY RESEARCH INSTITUTE,05/09/2025,1.9,2.6, ,14.6,1.4,98,43,1.17,16.59
SCORESBY RESEARCH INSTITUTE,06/09/2025,3.1,0.0, ,20.9,0.2,97,37,2.98,16.46
SCORESBY RESEARCH INSTITUTE,07/09/2025,3.5,0.0, ,20.9,12.7,81,47,6.67,7.44
SCORESBY RESEARCH INSTITUTE,08/09/2025,2.7,0.2, ,19.6,8.6,92,52,3.17,15.73
SCORESBY RESEARCH INSTITUTE,09/09/2025,2.0,1.2, ,16.3,10.3,94,53,1.86,12.76
SCORESBY RESEARCH INSTITUTE,10/09/2025,1.5,0.2, ,13.4,4.1,96,61,1.92,8.84
SCORESBY RESEARCH INSTITUTE,11/09/2025,1.9,1.4, ,15.0,3.9,96,56,1.76,13.76
SCORESBY RESEARCH INSTITUTE,12/09/2025,1.9,0.0, ,16.8,7.9,90,57,1.92,11.35
SCORESBY RESEARCH INSTITUTE,13/09/2025,1.7,0.0, ,18.4,10.5,91,62,1.30,9.32
SCORESBY RESEARCH INSTITUTE,14/09/2025,3.3,0.0, ,20.3,9.7,88,42,3.62,17.07
SCORESBY RESEARCH INSTITUTE,15/09/2025,6.1,0.0, ,23.7,14.6,57,28,7.07,17.39
SCORESBY RESEARCH INSTITUTE,16/09/2025,2.7,1.6, ,18.2,13.7,92,34,3.39,8.64
SCORESBY RESEARCH INSTITUTE,17/09/2025,2.6,5.6, ,16.1,7.5,91,43,2.65,15.82
SCORESBY RESEARCH INSTITUTE,18/09/2025,3.1,0.0, ,18.6,3.2,95,41,3.18,18.21
SCORESBY RESEARCH INSTITUTE,19/09/2025,4.5,0.0, ,21.6,12.4,86,26,5.91,13.21
SCORESBY RESEARCH INSTITUTE,20/09/2025,2.6,0.6, ,14.4,7.7,84,48,3.68,14.43
SCORESBY RESEARCH INSTITUTE,21/09/2025,1.6,0.0, ,15.3,9.7,93,66,2.87,6.91
SCORESBY RESEARCH INSTITUTE,22/09/2025,2.4,3.4, ,13.8,6.3,95,53,3.12,16.41
SCORESBY RESEARCH INSTITUTE,23/09/2025,2.1,3.0, ,16.8,7.3,96,56,1.82,12.99
SCORESBY RESEARCH INSTITUTE,24/09/2025,2.1,0.0, ,16.9,10.9,95,63,2.99,10.82
SCORESBY RESEARCH INSTITUTE,25/09/2025,1.8,1.8, ,15.6,11.0,91,56,2.15,7.15
SCORESBY RESEARCH INSTITUTE,26/09/2025,3.0,0.0, ,22.8,12.1,94,34,3.26,7.77
SCORESBY RESEARCH INSTITUTE,27/09/2025,3.0,0.6, ,19.2,6.2,95,39,2.47,16.06
SCORESBY RESEARCH INSTITUTE,28/09/2025,2.6,0.0, ,17.2,7.3,93,43,1.77,16.60
SCORESBY RESEARCH INSTITUTE,29/09/2025,3.6,0.0, ,22.1,3.9,96,37,2.51,20.85
SCORESBY RESEARCH INSTITUTE,30/09/2025,2.0,0.2, ,19.1,13.8,96,42,1.84,6.57
Totals:,,77.8,27, ,,,,,, 
