'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHE OAKS Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHE OAKS,01/08/2025,0.9,0.0, ,11.3,-0.4,100,69,1.69,8.58
SHE OAKS,02/08/2025,0.9,0.0, ,11.8,2.3,100,75,1.88,8.26
SHE OAKS,03/08/2025,1.9,0.0, ,17.6,0.6,100,37,2.51,11.76
SHE OAKS,04/08/2025,2.6,0.0, ,16.9,4.5,78,43,5.17,7.15
SHE OAKS,05/08/2025,2.0,1.6, ,14.3,8.0,89,50,4.49,10.20
SHE OAKS,06/08/2025,1.3,0.2, ,11.1,8.6,98,61,3.74,9.10
SHE OAKS,07/08/2025,1.1,1.6, ,11.4,0.6,99,54,2.00,8.31
SHE OAKS,08/08/2025,1.1,0.4, ,13.3,3.4,100,70,2.04,8.91
SHE OAKS,09/08/2025,1.4,0.0, ,15.4,2.1,100,57,2.00,12.49
SHE OAKS,10/08/2025,1.5,0.0, ,16.3,0.5,100,57,2.33,12.31
SHE OAKS,11/08/2025,1.6,0.0, ,16.1,0.4,99,54,2.35,10.83
SHE OAKS,12/08/2025,1.4,0.0, ,14.2,4.4,100,56,3.11,5.48
SHE OAKS,13/08/2025,1.5,4.2, ,13.6,2.5,100,56,2.41,12.17
SHE OAKS,14/08/2025,2.3,0.2, ,18.1,1.3,100,43,3.59,13.16
SHE OAKS,15/08/2025,2.0,0.0, ,13.0,6.0,92,51,6.38,6.15
SHE OAKS,16/08/2025,1.2,2.4, ,9.6,4.3,99,65,3.40,10.10
SHE OAKS,17/08/2025,1.0,2.2, ,10.7,2.3,100,70,1.96,8.71
SHE OAKS,18/08/2025,1.1,2.0, ,9.8,4.0,100,61,1.54,8.19
SHE OAKS,19/08/2025,1.5,0.2, ,13.2,-0.8,100,55,2.17,13.78
SHE OAKS,20/08/2025, ,0.0, , ,-1.2,97,48,2.60,14.08
SHE OAKS,21/08/2025, , , ,18.4, ,89,40,2.61,14.10
SHE OAKS,22/08/2025,2.0,0.0, ,18.1,4.8,96,56,3.32,9.95
SHE OAKS,23/08/2025,1.8,0.4, ,14.3,7.8,99,49,2.50,12.62
SHE OAKS,24/08/2025,1.8,0.0, ,13.4,-0.4,100,49,2.66,14.09
SHE OAKS,25/08/2025,2.8,0.0, ,18.2,1.4,100,29,3.76,11.20
SHE OAKS,26/08/2025,3.1,0.0, ,16.2,7.7,93,36,7.77,6.16
SHE OAKS,27/08/2025,2.2,5.0, ,13.2,8.7,92,61,7.55,12.47
SHE OAKS,28/08/2025,2.2,3.0, ,13.1,7.0,91,55,6.33,11.98
SHE OAKS,29/08/2025,1.6,0.2, ,11.6,7.5,94,67,6.71,6.87
SHE OAKS,30/08/2025,1.7,10.4, ,11.2,3.6,97,63,5.38,11.75
SHE OAKS,31/08/2025,1.9,0.2, ,14.2,6.1,98,62,4.99,12.67
Totals:,,49.4,34.2, ,,,,,, 
