'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHE OAKS Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHE OAKS,01/09/2025,1.8,1.4, ,13.9,7.3,97,62,3.41,11.91
SHE OAKS,02/09/2025,2.3,0.4, ,15.5,7.9,98,49,4.31,13.30
SHE OAKS,03/09/2025,2.8,1.4, ,15.8,8.8,90,44,5.16,14.59
SHE OAKS,04/09/2025,2.1,0.0, ,12.1,7.3,89,53,5.11,10.73
SHE OAKS,05/09/2025,1.9,0.8, ,12.3,-0.9,99,48,2.49,16.40
SHE OAKS,06/09/2025,3.8,0.0, ,20.9,-1.8,100,30,4.71,16.03
SHE OAKS,07/09/2025,4.0,0.0, ,19.8,9.3,84,46,9.63,11.33
SHE OAKS,08/09/2025,3.1,1.4, ,18.3,8.9,81,49,4.68,15.07
SHE OAKS,09/09/2025,2.2,1.2, ,14.3,9.0,100,53,3.70,14.17
SHE OAKS,10/09/2025,1.3,0.0, ,11.9,1.9,100,73,3.18,9.24
SHE OAKS,11/09/2025,1.9,2.4, ,13.0,5.7,100,63,3.01,14.38
SHE OAKS,12/09/2025,2.0,0.4, ,15.1,5.4,100,64,3.57,13.65
SHE OAKS,13/09/2025,1.8,1.6, ,15.5,9.7,100,65,2.76,10.57
SHE OAKS,14/09/2025,3.7,0.0, ,19.2,7.0,92,40,5.89,18.39
SHE OAKS,15/09/2025,7.0,0.0, ,23.8,13.9,46,26,8.76,17.40
SHE OAKS,16/09/2025,2.8, , ,16.6,12.6,90,48,5.32,11.60
SHE OAKS,17/09/2025,2.8,1.6, ,13.1,7.1,90,42,5.40,16.23
SHE OAKS,18/09/2025,3.7,0.2, ,18.2,3.6,88,39,5.40,18.93
SHE OAKS,19/09/2025,4.7,0.0, ,20.5,12.3,93,31,7.92,17.81
SHE OAKS,20/09/2025,2.4,2.8, ,13.3,5.3,88,57,5.73,13.71
SHE OAKS,21/09/2025,2.5,0.0, ,15.7,6.8,93,57,5.85,12.97
SHE OAKS,22/09/2025,2.2,1.6, ,12.3,5.7,91,59,4.76,13.31
SHE OAKS,23/09/2025,2.2,0.8, ,14.1,5.8,96,62,4.86,12.98
SHE OAKS,24/09/2025,1.7,0.0, ,14.0,9.4,97,75,4.73,10.85
SHE OAKS,25/09/2025,2.0,2.4, ,14.3,9.2,99,66,5.84,11.22
SHE OAKS,26/09/2025,3.9,0.0, ,20.2,11.2,88,38,5.92,13.26
SHE OAKS,27/09/2025,3.2,0.4, ,16.6,8.4,84,44,4.59,14.77
SHE OAKS,28/09/2025,2.7,0.0, ,15.4,7.0,99,41,2.76,16.87
SHE OAKS,29/09/2025,3.6,0.0, ,21.3,2.9,99,37,3.37,18.29
SHE OAKS,30/09/2025,2.9,2.6, ,17.7,10.9,94,44,4.06,12.26
Totals:,,85,23.4, ,,,,,, 
