'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/08/2025,1.3,0.2, ,14.4,-1.3,100,47,1.70,12.23
SHEPPARTON AIRPORT,02/08/2025,1.6,0.0, ,16.4,2.9,100,52,2.55,12.35
SHEPPARTON AIRPORT,03/08/2025,1.1,0.0, ,17.5,0.2,100,45,0.46,12.47
SHEPPARTON AIRPORT,04/08/2025,1.6,0.0, ,18.6,0.8,100,63,2.86,12.16
SHEPPARTON AIRPORT,05/08/2025,1.5,2.8, ,14.4,6.3,100,61,3.30,11.41
SHEPPARTON AIRPORT,06/08/2025,1.5,0.0, ,15.2,3.1,99,58,2.75,11.03
SHEPPARTON AIRPORT,07/08/2025,1.6,0.2, ,13.7,-0.5,100,48,2.65,12.95
SHEPPARTON AIRPORT,08/08/2025,1.8,0.0, ,17.0,0.1,100,47,2.38,13.06
SHEPPARTON AIRPORT,09/08/2025,1.4,0.0, ,17.0,0.2,100,48,1.12,12.95
SHEPPARTON AIRPORT,10/08/2025,1.3,0.0, ,17.6,0.0,100,47,0.71,13.31
SHEPPARTON AIRPORT,11/08/2025,1.5,0.0, ,17.1,1.0,100,50,1.43,13.46
SHEPPARTON AIRPORT,12/08/2025,1.0,0.0, ,13.5,1.8,100,69,1.68,6.71
SHEPPARTON AIRPORT,13/08/2025,1.8,5.0, ,15.6,8.1,100,58,3.72,13.34
SHEPPARTON AIRPORT,14/08/2025,2.0,0.2, ,16.8,0.7,100,43,2.35,13.88
SHEPPARTON AIRPORT,15/08/2025,1.7,0.0, ,16.4,4.4,99,61,3.79,9.41
SHEPPARTON AIRPORT,16/08/2025,1.7,4.2, ,13.0,4.3,100,51,3.19,11.47
SHEPPARTON AIRPORT,17/08/2025,1.1,0.0, ,11.4,1.9,100,75,2.02,9.61
SHEPPARTON AIRPORT,18/08/2025,1.7,0.4, ,13.6,-0.7,100,50,2.28,14.43
SHEPPARTON AIRPORT,19/08/2025,1.7,0.0, ,16.3,-1.7,100,38,1.34,14.44
SHEPPARTON AIRPORT,20/08/2025,1.9,0.0, ,18.4,-0.8,100,39,1.32,14.73
SHEPPARTON AIRPORT,21/08/2025,2.0,0.0, ,19.9,1.7,100,41,1.51,13.76
SHEPPARTON AIRPORT,22/08/2025,1.5,0.0, ,17.3,5.5,100,63,1.63,10.65
SHEPPARTON AIRPORT,23/08/2025,2.0,0.0, ,18.3,3.5,100,52,2.27,14.30
SHEPPARTON AIRPORT,24/08/2025,2.2,0.0, ,16.2,2.5,96,39,2.26,15.36
SHEPPARTON AIRPORT,25/08/2025,2.2,0.0, ,18.3,-0.2,100,38,1.93,14.44
SHEPPARTON AIRPORT,26/08/2025,1.5,0.0, ,14.3,7.3,96,67,5.15,5.49
SHEPPARTON AIRPORT,27/08/2025,1.9,6.4, ,14.8,8.8,98,66,6.14,12.26
SHEPPARTON AIRPORT,28/08/2025,2.0,0.8, ,14.4,7.4,95,63,6.43,11.08
SHEPPARTON AIRPORT,29/08/2025,1.9,2.0, ,15.2,6.2,98,63,6.79,8.31
SHEPPARTON AIRPORT,30/08/2025,2.2,4.6, ,12.4,6.0,97,56,7.34,15.06
SHEPPARTON AIRPORT,31/08/2025,1.9,0.0, ,15.1,4.8,95,64,3.52,12.76
Totals:,,52.1,26.8, ,,,,,, 
