'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/09/2025,1.6,0.0, ,14.8,5.0,100,62,1.55,12.39
SHEPPARTON AIRPORT,02/09/2025,2.2,0.2, ,16.9,1.8,100,43,2.45,13.32
SHEPPARTON AIRPORT,03/09/2025,3.3,0.0, ,19.6,6.4,90,38,4.27,15.85
SHEPPARTON AIRPORT,04/09/2025,2.5,0.0, ,16.6,7.9,90,53,4.34,14.03
SHEPPARTON AIRPORT,05/09/2025,2.2,0.0, ,15.2,-0.3,100,39,1.98,17.20
SHEPPARTON AIRPORT,06/09/2025,2.8,0.0, ,19.8,1.9,96,54,3.88,16.96
SHEPPARTON AIRPORT,07/09/2025,2.1,0.0, ,17.8,11.6,94,59,5.41,5.07
SHEPPARTON AIRPORT,08/09/2025,2.8,3.6, ,20.0,8.4,100,47,2.55,17.44
SHEPPARTON AIRPORT,09/09/2025,2.5,0.0, ,18.2,3.2,100,51,2.33,17.18
SHEPPARTON AIRPORT,10/09/2025,2.2,0.0, ,13.5,7.5,82,59,6.48,7.20
SHEPPARTON AIRPORT,11/09/2025,3.1,0.0, ,16.7,6.5,92,48,5.64,17.01
SHEPPARTON AIRPORT,12/09/2025,2.4,0.0, ,16.7,3.2,100,56,3.35,16.23
SHEPPARTON AIRPORT,13/09/2025,2.3,0.0, ,19.2,3.1,100,50,1.30,16.05
SHEPPARTON AIRPORT,14/09/2025,3.2,0.0, ,21.0,6.0,98,41,3.25,16.77
SHEPPARTON AIRPORT,15/09/2025,5.4,0.0, ,25.1,8.1,89,27,5.94,19.18
SHEPPARTON AIRPORT,16/09/2025,1.9,2.2, ,13.2,12.7,98,48,3.99,5.98
SHEPPARTON AIRPORT,17/09/2025,2.6,7.6, ,15.8,6.6,100,49,3.41,17.05
SHEPPARTON AIRPORT,18/09/2025,3.1,0.0, ,19.3,2.6,100,43,3.11,18.73
SHEPPARTON AIRPORT,19/09/2025,4.2,0.0, ,22.7,7.5,81,40,5.51,15.32
SHEPPARTON AIRPORT,20/09/2025,2.9,0.0, ,15.5,5.8,97,48,5.24,17.38
SHEPPARTON AIRPORT,21/09/2025,2.1,0.0, ,16.5,6.7,98,64,4.37,11.39
SHEPPARTON AIRPORT,22/09/2025,3.2,1.2, ,15.7,3.9,100,39,5.18,19.34
SHEPPARTON AIRPORT,23/09/2025,2.9,0.2, ,18.2,3.2,99,50,3.42,18.58
SHEPPARTON AIRPORT,24/09/2025,2.9,0.0, ,19.0,6.2,100,49,4.07,14.03
SHEPPARTON AIRPORT,25/09/2025,2.5,0.0, ,17.9,4.8,100,56,3.43,14.02
SHEPPARTON AIRPORT,26/09/2025,5.8,0.0, ,26.0,9.1,91,22,5.82,18.89
SHEPPARTON AIRPORT,27/09/2025,3.3,0.0, ,19.5,4.3,100,46,3.09,21.08
SHEPPARTON AIRPORT,28/09/2025,3.3,0.0, ,18.7,6.5,91,39,3.10,18.62
SHEPPARTON AIRPORT,29/09/2025,3.9,0.0, ,22.6,2.1,98,37,3.13,21.66
SHEPPARTON AIRPORT,30/09/2025,4.1,0.0, ,22.0,13.3,78,39,5.46,11.23
Totals:,,89.3,15, ,,,,,, 
