'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/08/2025,1.2,0.0, ,11.9,1.9,100,66,3.36,10.70
STAWELL AERODROME,02/08/2025,1.2,0.2, ,14.1,2.2,100,61,2.03,11.93
STAWELL AERODROME,03/08/2025,1.8,0.2, ,15.4,0.6,100,46,3.02,12.17
STAWELL AERODROME,04/08/2025,2.1,0.0, ,15.9,6.7,100,55,6.28,10.41
STAWELL AERODROME,05/08/2025,1.6,4.8, ,14.1,7.2,100,63,4.78,11.24
STAWELL AERODROME,06/08/2025,1.6,0.0, ,13.0,7.3,100,54,3.81,10.87
STAWELL AERODROME,07/08/2025,1.2,0.0, ,10.6,-0.2,100,60,2.64,9.68
STAWELL AERODROME,08/08/2025,1.6,0.0, ,14.3,3.6,100,61,3.99,12.45
STAWELL AERODROME,09/08/2025,1.5,0.0, ,15.7,1.5,100,50,1.89,12.82
STAWELL AERODROME,10/08/2025,1.8,0.0, ,16.6,4.5,100,48,2.60,12.35
STAWELL AERODROME,11/08/2025,1.9,0.0, ,16.4,2.4,100,46,2.83,13.19
STAWELL AERODROME,12/08/2025,0.9,3.8, ,11.7,8.3,100,79,2.18,5.41
STAWELL AERODROME,13/08/2025,1.6,3.0, ,14.2,2.2,100,53,2.34,13.26
STAWELL AERODROME,14/08/2025,1.9,0.0, ,15.3,1.5,100,44,2.67,13.57
STAWELL AERODROME,15/08/2025,1.5,0.0, ,13.9,7.4,96,65,4.21,7.23
STAWELL AERODROME,16/08/2025,1.8,1.2, ,12.1,3.1,99,42,2.97,12.93
STAWELL AERODROME,17/08/2025,1.0,0.6, ,11.4,3.5,100,76,2.27,8.70
STAWELL AERODROME,18/08/2025,1.4,0.6, ,10.9,5.6,99,62,4.21,9.88
STAWELL AERODROME,19/08/2025,1.7,0.0, ,12.8,1.4,100,51,2.44,14.17
STAWELL AERODROME,20/08/2025,2.1,0.0, ,16.4,-0.3,100,42,2.63,14.49
STAWELL AERODROME,21/08/2025,2.5,0.0, ,17.8,5.5,84,43,3.30,14.64
STAWELL AERODROME,22/08/2025,1.4,0.0, ,15.9,7.4,100,67,2.48,8.47
STAWELL AERODROME,23/08/2025,2.0,0.0, ,15.3,4.2,100,46,3.10,11.82
STAWELL AERODROME,24/08/2025,2.1,0.0, ,15.7,2.3,99,34,2.19,15.11
STAWELL AERODROME,25/08/2025,1.7,0.0, ,13.9,2.3,100,58,2.99,11.49
STAWELL AERODROME,26/08/2025,1.4,3.8, ,12.2,9.8,100,60,4.17,4.14
STAWELL AERODROME,27/08/2025,2.3,21.0, ,13.7,8.0,100,47,5.46,12.83
STAWELL AERODROME,28/08/2025,1.8,6.0, ,13.9,7.2,100,67,5.02,13.00
STAWELL AERODROME,29/08/2025,1.3,5.2, ,10.4,7.3,100,71,6.94,7.97
STAWELL AERODROME,30/08/2025,1.9,17.4, ,12.1,5.0,94,59,5.55,12.20
STAWELL AERODROME,31/08/2025,1.8,0.0, ,14.8,7.2,100,64,3.26,12.51
Totals:,,51.6,67.8, ,,,,,, 
