'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/09/2025,1.9,0.0, ,14.7,4.9,100,56,2.53,13.97
STAWELL AERODROME,02/09/2025,2.3,0.4, ,16.2,5.5,100,53,4.42,12.88
STAWELL AERODROME,03/09/2025,2.7,0.0, ,15.8,8.0,94,44,4.59,14.20
STAWELL AERODROME,04/09/2025,2.1,0.0, ,13.5,7.2,100,49,3.55,12.73
STAWELL AERODROME,05/09/2025,2.2,0.2, ,13.5,1.6,99,42,2.60,16.79
STAWELL AERODROME,06/09/2025,2.9,0.0, ,19.4,1.4,99,40,3.82,13.76
STAWELL AERODROME,07/09/2025,2.8,0.6, ,19.4,11.1,100,41,5.66,6.13
STAWELL AERODROME,08/09/2025,2.7,16.0, ,17.8,8.4,99,48,4.62,14.03
STAWELL AERODROME,09/09/2025,2.3,0.0, ,16.5,8.4,99,48,2.80,13.87
STAWELL AERODROME,10/09/2025,1.7,0.0, ,12.1,6.5,97,72,5.47,12.80
STAWELL AERODROME,11/09/2025,2.5,1.0, ,15.6,7.1,100,49,4.37,14.41
STAWELL AERODROME,12/09/2025,2.2,0.2, ,16.6,3.1,100,49,1.99,15.21
STAWELL AERODROME,13/09/2025,2.3,0.0, ,17.3,4.4,100,57,2.38,17.04
STAWELL AERODROME,14/09/2025,3.8,0.0, ,20.2,5.0,100,34,5.04,18.66
STAWELL AERODROME,15/09/2025,5.7,0.0, ,24.8,8.7,65,24,5.98,17.06
STAWELL AERODROME,16/09/2025,2.8,1.0, ,17.0,11.2,100,50,5.57,14.88
STAWELL AERODROME,17/09/2025,2.2,0.6, ,13.1,7.7,99,52,3.47,14.90
STAWELL AERODROME,18/09/2025,3.9,0.2, ,20.2,3.6,100,30,4.39,18.98
STAWELL AERODROME,19/09/2025,3.9,0.2, ,19.1,9.7,99,32,5.35,18.27
STAWELL AERODROME,20/09/2025,2.7,1.4, ,14.3,7.3,99,46,4.90,15.53
STAWELL AERODROME,21/09/2025,2.3,0.0, ,17.0,9.1,100,61,4.85,12.14
STAWELL AERODROME,22/09/2025,2.7,1.8, ,14.3,8.2,95,44,4.08,15.34
STAWELL AERODROME,23/09/2025, ,0.0, , ,4.9, , , ,13.08
STAWELL AERODROME,24/09/2025, , , ,17.6, , , , ,15.69
STAWELL AERODROME,25/09/2025,2.2,0.0, ,15.7,9.9,99,61,4.44,12.04
STAWELL AERODROME,26/09/2025,4.1,0.0, ,21.3,8.3,89,36,5.24,15.81
STAWELL AERODROME,27/09/2025,3.1,0.0, ,17.1,5.9,95,40,3.92,16.52
STAWELL AERODROME,28/09/2025,2.9,0.0, ,16.6,5.7,100,34,1.94,19.67
STAWELL AERODROME,29/09/2025,3.8,0.0, ,21.9,4.1,99,33,3.49,17.22
STAWELL AERODROME,30/09/2025,3.3,7.0, ,18.2,11.4,100,39,4.33,16.39
Totals:,,80,30.6, ,,,,,, 
