'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/10/2025,2.6,0.8, ,16.2,7.8,100,52,5.71,12.21
STAWELL AERODROME,02/10/2025,2.5,7.4, ,13.8,5.6,99,59,5.42,18.00
STAWELL AERODROME,03/10/2025,2.8,0.0, ,17.8,9.4,100,61,3.74,17.62
STAWELL AERODROME,04/10/2025,4.3,0.0, ,23.5,5.1,100,31,3.15,22.11
STAWELL AERODROME,05/10/2025,4.5,0.0, ,26.2,9.9,100,20,3.79,11.92
STAWELL AERODROME,06/10/2025,3.0,2.0, ,15.2,10.2,100,39,3.45,16.91
STAWELL AERODROME,07/10/2025,2.7,0.0, ,15.2,7.2,98,46,3.81,14.11
STAWELL AERODROME,08/10/2025,3.5,0.0, ,19.6,4.4,99,43,4.14,18.39
STAWELL AERODROME,09/10/2025,3.9,0.0, ,18.5,8.5,100,35,5.61,19.06
STAWELL AERODROME,10/10/2025,4.3,0.0, ,19.5,8.7,91,41,7.49,18.63
STAWELL AERODROME,11/10/2025,3.8,0.0, ,19.1,10.3,99,37,5.09,17.84
STAWELL AERODROME,12/10/2025,2.7,0.4, ,17.1,9.0,100,55,4.37,14.70
STAWELL AERODROME,13/10/2025,3.5,1.2, ,16.7,2.4,99,33,2.73,22.65
STAWELL AERODROME,14/10/2025,4.0,0.0, ,20.4,6.5,97,34,2.82,22.62
Totals:,,48.1,11.8, ,,,,,, 
