'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/08/2025,1.6,0.2, ,14.4,1.7,95,56,2.87,12.70
SWAN HILL AERODROME,02/08/2025,1.5,0.0, ,15.5,-0.1,96,58,2.31,12.81
SWAN HILL AERODROME,03/08/2025,1.8,0.0, ,18.6,0.2,96,39,1.85,12.93
SWAN HILL AERODROME,04/08/2025,3.0,0.2, ,20.2,4.4,92,42,5.15,11.90
SWAN HILL AERODROME,05/08/2025,2.2,0.4, ,16.8,3.9,92,50,4.14,13.01
SWAN HILL AERODROME,06/08/2025,1.8,0.0, ,16.4,3.1,91,58,3.27,11.98
SWAN HILL AERODROME,07/08/2025,1.7,0.0, ,13.3,1.2,94,48,2.76,13.41
SWAN HILL AERODROME,08/08/2025,1.9,0.0, ,16.2,0.1,95,54,3.23,13.00
SWAN HILL AERODROME,09/08/2025,2.3,0.0, ,18.4,4.3,96,42,3.05,13.65
SWAN HILL AERODROME,10/08/2025,2.0,0.2, ,18.2,6.0,91,53,2.89,12.95
SWAN HILL AERODROME,11/08/2025,2.2,0.0, ,18.8,4.0,91,47,2.62,13.93
SWAN HILL AERODROME,12/08/2025,1.2,0.0, ,13.3,9.5,97,71,2.88,6.26
SWAN HILL AERODROME,13/08/2025,1.8,3.4, ,16.0,4.4,97,60,2.91,13.95
SWAN HILL AERODROME,14/08/2025,2.1,0.0, ,18.3,0.8,96,44,2.41,14.34
SWAN HILL AERODROME,15/08/2025,2.0,0.0, ,16.4,6.0,94,56,4.91,7.62
SWAN HILL AERODROME,16/08/2025,2.1,0.6, ,13.5,2.4,95,49,4.74,14.43
SWAN HILL AERODROME,17/08/2025,1.5,0.2, ,14.1,3.4,97,65,3.22,8.80
SWAN HILL AERODROME,18/08/2025,2.0,0.2, ,14.9,4.0,97,49,3.18,14.36
SWAN HILL AERODROME,19/08/2025,2.0,0.0, ,16.1,-2.0,96,40,2.07,14.89
SWAN HILL AERODROME,20/08/2025,2.6,0.0, ,19.0,0.7,95,42,3.19,15.20
SWAN HILL AERODROME,21/08/2025,2.5,0.0, ,20.5,2.3,95,45,2.66,14.17
SWAN HILL AERODROME,22/08/2025,2.0,0.0, ,18.9,7.1,92,53,2.36,9.81
SWAN HILL AERODROME,23/08/2025,2.1,0.0, ,17.9,3.0,97,58,2.73,15.17
SWAN HILL AERODROME,24/08/2025,2.3,0.0, ,17.2,1.2,94,39,2.20,15.79
SWAN HILL AERODROME,25/08/2025,2.5,0.0, ,19.9,-0.4,95,35,2.31,14.05
SWAN HILL AERODROME,26/08/2025,2.0,0.0, ,14.7,8.5,87,49,4.56,3.46
SWAN HILL AERODROME,27/08/2025,2.6,1.4, ,17.3,7.3,95,58,7.60,11.15
SWAN HILL AERODROME,28/08/2025,3.1,4.8, ,17.4,6.3,92,49,8.04,14.06
SWAN HILL AERODROME,29/08/2025,2.8,0.2, ,15.8,6.6,92,55,10.44,11.41
SWAN HILL AERODROME,30/08/2025,2.8,2.6, ,14.0,4.6,90,49,7.60,15.41
SWAN HILL AERODROME,31/08/2025,1.7,0.0, ,13.8,2.3,97,65,3.98,10.93
Totals:,,65.7,14.4, ,,,,,, 
