'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/09/2025,2.2,0.2, ,16.0,8.0,96,48,2.43,13.55
SWAN HILL AERODROME,02/09/2025,3.0,0.0, ,19.7,1.5,94,38,3.42,14.77
SWAN HILL AERODROME,03/09/2025,3.7,0.0, ,20.2,6.7,89,37,5.36,15.74
SWAN HILL AERODROME,04/09/2025,2.7,0.0, ,17.8,3.0,95,51,4.17,15.37
SWAN HILL AERODROME,05/09/2025,2.6,0.0, ,16.4,-0.1,93,37,2.92,15.95
SWAN HILL AERODROME,06/09/2025,4.3,0.0, ,24.6,4.1,79,33,4.44,14.03
SWAN HILL AERODROME,07/09/2025,4.5,0.0, ,26.3,13.1,84,43,6.38,11.82
SWAN HILL AERODROME,08/09/2025,3.9,6.2, ,23.0,6.2,95,31,3.79,18.08
SWAN HILL AERODROME,09/09/2025,2.6,0.0, ,19.7,3.7,96,42,1.73,17.24
SWAN HILL AERODROME,10/09/2025,1.6,4.2, ,13.3,7.9,93,67,4.87,6.55
SWAN HILL AERODROME,11/09/2025,3.0,2.2, ,16.7,5.3,93,45,4.96,16.44
SWAN HILL AERODROME,12/09/2025,2.4,0.0, ,16.3,2.9,94,51,3.21,15.29
SWAN HILL AERODROME,13/09/2025,2.6,0.0, ,19.8,3.2,97,44,1.52,17.86
SWAN HILL AERODROME,14/09/2025,3.8,0.0, ,22.3,3.0,96,34,3.62,19.34
SWAN HILL AERODROME,15/09/2025,7.7,0.0, ,29.1,8.5,74,18,7.44,19.25
SWAN HILL AERODROME,16/09/2025,2.5,1.2, ,14.0,12.3,96,33,5.17,6.33
SWAN HILL AERODROME,17/09/2025,2.7,5.4, ,16.4,4.7,95,47,3.49,16.80
SWAN HILL AERODROME,18/09/2025,4.2,0.0, ,22.2,3.1,94,29,3.89,20.04
SWAN HILL AERODROME,19/09/2025,6.2,0.0, ,26.2,9.4,73,25,6.44,19.53
SWAN HILL AERODROME,20/09/2025,3.1,0.2, ,16.8,4.5,96,48,5.97,15.80
SWAN HILL AERODROME,21/09/2025,3.5,0.0, ,20.0,8.0,91,47,6.42,13.46
SWAN HILL AERODROME,22/09/2025,3.3,0.2, ,17.3,5.1,93,41,4.41,18.35
SWAN HILL AERODROME,23/09/2025,3.2,0.0, ,17.9,1.6,95,47,3.74,20.36
SWAN HILL AERODROME,24/09/2025,3.8,0.0, ,20.3,9.1,86,46,5.68,17.23
SWAN HILL AERODROME,25/09/2025,3.9,0.0, ,21.3,5.2,93,41,4.46,19.25
SWAN HILL AERODROME,26/09/2025,7.4,0.0, ,28.3,5.7,90,17,7.14,20.72
SWAN HILL AERODROME,27/09/2025,3.7,0.0, ,21.8,2.9,96,40,3.28,19.88
SWAN HILL AERODROME,28/09/2025,3.0,0.0, ,19.3,2.5,93,40,2.15,17.62
SWAN HILL AERODROME,29/09/2025,5.4,0.0, ,26.8,3.5,90,24,4.14,20.55
SWAN HILL AERODROME,30/09/2025,5.0,0.0, ,22.6,13.9,82,30,6.26,16.11
Totals:,,111.5,19.8, ,,,,,, 
