'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/10/2025,4.6,0.0, ,20.5,6.4,91,35,6.92,18.46
SWAN HILL AERODROME,02/10/2025,4.9,0.0, ,18.8,9.8,80,33,8.49,19.33
SWAN HILL AERODROME,03/10/2025,4.4,0.0, ,22.4,5.2,90,40,4.97,20.10
SWAN HILL AERODROME,04/10/2025,4.6,0.0, ,27.6,4.1,92,24,2.21,22.44
SWAN HILL AERODROME,05/10/2025,9.7,0.0, ,35.0,10.3,59,11,6.25,20.99
SWAN HILL AERODROME,06/10/2025,3.1,0.0, ,16.6,12.4,80,47,4.95,10.06
SWAN HILL AERODROME,07/10/2025,4.3,0.0, ,22.3,5.0,83,30,2.87,22.43
SWAN HILL AERODROME,08/10/2025,5.5,0.0, ,27.9,5.4,84,29,3.80,22.32
SWAN HILL AERODROME,09/10/2025,5.5,0.0, ,24.1,7.0,84,27,5.09,23.17
SWAN HILL AERODROME,10/10/2025,6.5,0.0, ,25.7,5.6,80,24,6.41,23.38
SWAN HILL AERODROME,11/10/2025,5.7,0.0, ,24.6,6.2,89,28,5.65,23.16
SWAN HILL AERODROME,12/10/2025,5.2,0.0, ,23.0,4.7,92,31,6.16,20.79
SWAN HILL AERODROME,13/10/2025,4.2,0.0, ,21.9,4.3,96,26,2.44,23.51
SWAN HILL AERODROME,14/10/2025,5.1,0.0, ,24.4,3.7,87,29,3.97,22.28
Totals:,,73.3,0, ,,,,,, 
