'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/08/2025,1.6,0.0, ,14.2,0.8,100,42,2.31,12.23
TATURA INST SUSTAINABLE AG,02/08/2025,1.6,0.0, ,16.1,4.8,100,55,2.91,12.35
TATURA INST SUSTAINABLE AG,03/08/2025,1.3,0.0, ,17.6,-0.5,100,46,0.97,12.46
TATURA INST SUSTAINABLE AG,04/08/2025,1.7,0.0, ,18.2,0.7,100,64,3.85,12.30
TATURA INST SUSTAINABLE AG,05/08/2025,1.5,3.6, ,14.3,6.0,100,61,3.39,11.48
TATURA INST SUSTAINABLE AG,06/08/2025,1.6,0.0, ,15.7,4.2,100,52,2.80,10.74
TATURA INST SUSTAINABLE AG,07/08/2025,1.6,0.0, ,13.5,1.4,100,51,2.90,12.95
TATURA INST SUSTAINABLE AG,08/08/2025,1.9,0.0, ,16.3,3.5,100,47,2.98,13.04
TATURA INST SUSTAINABLE AG,09/08/2025,1.6,0.0, ,17.5,0.3,100,48,1.66,13.01
TATURA INST SUSTAINABLE AG,10/08/2025,1.5,0.0, ,17.9,0.0,100,46,1.16,13.33
TATURA INST SUSTAINABLE AG,11/08/2025,1.7,0.0, ,16.8,0.9,100,47,1.77,13.46
TATURA INST SUSTAINABLE AG,12/08/2025,1.0,0.0, ,12.8,2.1,100,72,2.20,6.94
TATURA INST SUSTAINABLE AG,13/08/2025,1.8,3.4, ,15.4,8.5,100,58,3.30,13.17
TATURA INST SUSTAINABLE AG,14/08/2025,2.1,0.0, ,16.5,1.8,100,40,2.81,13.88
TATURA INST SUSTAINABLE AG,15/08/2025,1.7,0.0, ,16.0,5.2,100,61,3.89,9.42
TATURA INST SUSTAINABLE AG,16/08/2025,1.9,3.0, ,13.0,3.0,100,45,3.34,13.48
TATURA INST SUSTAINABLE AG,17/08/2025,1.0,0.0, ,11.3,0.9,100,80,1.79,10.57
TATURA INST SUSTAINABLE AG,18/08/2025,1.9,0.0, ,13.1,2.8,100,46,3.32,14.45
TATURA INST SUSTAINABLE AG,19/08/2025,1.7,0.0, ,16.4,-2.0,100,35,1.28,14.44
TATURA INST SUSTAINABLE AG,20/08/2025,2.1,0.0, ,17.8,-0.6,100,33,1.76,14.72
TATURA INST SUSTAINABLE AG,21/08/2025,2.2,0.0, ,19.7,1.0,100,39,1.95,14.22
TATURA INST SUSTAINABLE AG,22/08/2025,1.6,0.0, ,17.7,5.5,100,63,1.80,10.65
TATURA INST SUSTAINABLE AG,23/08/2025,2.1,0.0, ,17.0,3.3,100,49,2.67,14.19
TATURA INST SUSTAINABLE AG,24/08/2025,2.2,0.0, ,16.2,3.9,100,38,2.28,15.35
TATURA INST SUSTAINABLE AG,25/08/2025,2.2,0.0, ,18.1,0.0,100,41,2.16,14.75
TATURA INST SUSTAINABLE AG,26/08/2025,1.3,0.2, ,14.1,8.3,100,68,4.50,4.49
TATURA INST SUSTAINABLE AG,27/08/2025,1.6,8.6, ,14.9,7.9,100,74,6.12,11.63
TATURA INST SUSTAINABLE AG,28/08/2025,2.0,1.4, ,14.5,6.9,100,64,6.55,12.20
TATURA INST SUSTAINABLE AG,29/08/2025,1.7,1.8, ,14.8,6.1,100,69,7.01,9.12
TATURA INST SUSTAINABLE AG,30/08/2025,2.0,7.0, ,12.1,6.0,100,57,5.84,14.99
TATURA INST SUSTAINABLE AG,31/08/2025,1.6,0.0, ,14.5,4.2,100,68,3.03,12.12
Totals:,,53.3,29, ,,,,,, 
