'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/09/2025,1.7,0.0, ,15.0,5.8,100,57,1.60,12.48
TATURA INST SUSTAINABLE AG,02/09/2025,2.2,0.0, ,16.5,1.2,100,45,2.53,14.65
TATURA INST SUSTAINABLE AG,03/09/2025,3.0,0.0, ,18.9,6.9,100,40,4.19,15.84
TATURA INST SUSTAINABLE AG,04/09/2025,2.3,0.0, ,16.4,7.3,100,53,3.87,14.00
TATURA INST SUSTAINABLE AG,05/09/2025,2.3,0.0, ,15.2,-1.3,100,31,2.00,17.12
TATURA INST SUSTAINABLE AG,06/09/2025,2.7,0.0, ,19.5,1.9,100,54,4.11,16.63
TATURA INST SUSTAINABLE AG,07/09/2025,1.9,0.0, ,17.5,11.0,100,59,5.56,4.49
TATURA INST SUSTAINABLE AG,08/09/2025,2.9,4.2, ,19.6,7.8,100,43,2.86,17.02
TATURA INST SUSTAINABLE AG,09/09/2025,2.4,0.0, ,17.9,2.0,100,52,1.95,17.75
TATURA INST SUSTAINABLE AG,10/09/2025,1.9,0.0, ,13.1,7.5,92,62,5.52,7.57
TATURA INST SUSTAINABLE AG,11/09/2025,2.9,0.0, ,16.2,6.9,98,44,4.51,16.73
TATURA INST SUSTAINABLE AG,12/09/2025,2.2,0.0, ,16.2,0.2,100,52,2.41,15.73
TATURA INST SUSTAINABLE AG,13/09/2025,2.3,0.0, ,19.1,3.5,100,49,1.64,15.72
TATURA INST SUSTAINABLE AG,14/09/2025,3.2,0.0, ,20.8,4.5,100,38,3.17,17.00
TATURA INST SUSTAINABLE AG,15/09/2025, ,0.0, , ,8.3,93,23,5.72,19.17
TATURA INST SUSTAINABLE AG,16/09/2025, , , , , , , , ,6.19
TATURA INST SUSTAINABLE AG,17/09/2025, ,6.2, ,15.7,5.6, , , ,17.32
TATURA INST SUSTAINABLE AG,18/09/2025,3.2,0.2, ,19.1,1.9,100,37,3.29,18.95
TATURA INST SUSTAINABLE AG,19/09/2025,4.6,0.0, ,23.5,8.0,80,33,5.40,15.56
TATURA INST SUSTAINABLE AG,20/09/2025,2.8,0.2, ,15.5,5.5,100,43,4.79,15.38
TATURA INST SUSTAINABLE AG,21/09/2025,2.0,0.0, ,16.0,5.9,100,67,4.14,11.86
TATURA INST SUSTAINABLE AG,22/09/2025,2.9,1.2, ,15.0,4.1,100,40,3.81,17.96
TATURA INST SUSTAINABLE AG,23/09/2025,3.0,0.2, ,17.7,2.3,100,47,3.44,19.33
TATURA INST SUSTAINABLE AG,24/09/2025,2.8,0.0, ,18.8,5.3,100,45,3.26,14.16
TATURA INST SUSTAINABLE AG,25/09/2025,2.7,0.0, ,18.0,4.6,100,53,3.72,14.93
TATURA INST SUSTAINABLE AG,26/09/2025,5.8,0.0, ,26.2,9.4,94,20,5.53,18.87
TATURA INST SUSTAINABLE AG,27/09/2025,3.4,0.0, ,19.1,2.7,100,43,3.34,21.21
TATURA INST SUSTAINABLE AG,28/09/2025,3.3,0.0, ,18.5,6.3,100,33,2.73,19.60
TATURA INST SUSTAINABLE AG,29/09/2025,4.0,0.0, ,22.4,0.9,100,32,3.00,21.63
TATURA INST SUSTAINABLE AG,30/09/2025,3.8,0.0, ,21.9,13.4,93,36,5.26,10.23
Totals:,,78.2,12.2, ,,,,,, 
