'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/10/2025,3.3,0.0, ,18.2,5.9,100,40,4.81,15.51
TATURA INST SUSTAINABLE AG,02/10/2025,3.8,0.8, ,17.6,8.0,100,36,6.73,16.95
TATURA INST SUSTAINABLE AG,03/10/2025,3.3,0.0, ,21.0,6.1,100,45,3.68,15.61
TATURA INST SUSTAINABLE AG,04/10/2025, ,0.0, , ,2.7,100,31,1.79,22.46
TATURA INST SUSTAINABLE AG,05/10/2025,6.4, , ,31.5,10.7,90,14,4.22,16.84
TATURA INST SUSTAINABLE AG,06/10/2025,3.2,0.2, ,17.4,10.6,95,36,3.59,14.55
TATURA INST SUSTAINABLE AG,07/10/2025,3.6,0.0, ,19.7,1.1,100,33,2.69,21.65
TATURA INST SUSTAINABLE AG,08/10/2025,4.4,0.0, ,26.2,4.3,100,31,3.06,17.85
TATURA INST SUSTAINABLE AG,09/10/2025,4.8,0.0, ,22.2,9.3,97,29,4.66,22.69
TATURA INST SUSTAINABLE AG,10/10/2025,5.2,0.0, ,23.7,4.8,100,27,4.81,23.08
TATURA INST SUSTAINABLE AG,11/10/2025,4.5,0.0, ,22.6,6.3,100,31,4.23,20.52
TATURA INST SUSTAINABLE AG,12/10/2025,3.8,0.0, ,19.9,6.5,100,36,4.52,17.32
TATURA INST SUSTAINABLE AG,13/10/2025,3.7,1.2, ,18.3,5.4,100,31,2.46,23.86
TATURA INST SUSTAINABLE AG,14/10/2025,4.2,0.0, ,22.5,1.8,100,30,2.52,24.12
Totals:,,54.2,2.2, ,,,,,, 
