'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/08/2025,1.0,0.0, ,14.3,0.3,100,63,1.15,9.29
VIEWBANK,02/08/2025,1.0,0.0, ,16.1,3.6,100,59,0.62,11.32
VIEWBANK,03/08/2025,1.6,0.0, ,19.7,0.4,100,38,1.45,11.85
VIEWBANK,04/08/2025,1.6,0.0, ,18.1,3.3,94,52,2.34,8.81
VIEWBANK,05/08/2025,1.9,3.4, ,16.5,8.5,91,48,3.30,8.38
VIEWBANK,06/08/2025,1.5,0.2, ,15.4,9.3,90,58,2.52,8.54
VIEWBANK,07/08/2025,1.0,0.4, ,13.2,4.0,97,59,0.97,8.54
VIEWBANK,08/08/2025,1.2,0.0, ,15.8,5.9,98,61,1.32,10.95
VIEWBANK,09/08/2025,1.3,0.0, ,17.8,4.7,100,48,0.89,11.73
VIEWBANK,10/08/2025,1.4,0.0, ,18.5,1.6,100,47,0.99,12.74
VIEWBANK,11/08/2025,1.5,0.0, ,18.8,2.0,99,37,1.06,12.47
VIEWBANK,12/08/2025,1.3,0.0, ,15.4,4.0,99,53,1.57,7.92
VIEWBANK,13/08/2025,1.3,7.0, ,14.9,5.8,100,60,1.35,10.42
VIEWBANK,14/08/2025,1.7,0.2, ,19.5,2.5,100,37,1.17,13.28
VIEWBANK,15/08/2025,1.6,0.0, ,14.8,6.2,98,51,3.31,5.87
VIEWBANK,16/08/2025,1.6,9.0, ,12.6,5.7,98,52,2.60,11.63
VIEWBANK,17/08/2025,1.2,1.4, ,13.6,2.1,99,59,1.52,9.49
VIEWBANK,18/08/2025,1.0,0.0, ,11.9,3.4,99,57,1.15,6.94
VIEWBANK,19/08/2025,1.5,0.0, ,17.0,-1.3,100,37,0.97,13.88
VIEWBANK,20/08/2025,1.6,0.0, ,20.1,0.4,96,35,0.81,14.17
VIEWBANK,21/08/2025,1.6,0.2, ,21.7,2.0,96,36,0.59,14.30
VIEWBANK,22/08/2025,1.8,0.0, ,19.4,7.1,92,56,2.03,10.36
VIEWBANK,23/08/2025,1.9,0.0, ,15.8,8.5,96,49,2.13,12.62
VIEWBANK,24/08/2025,1.7,0.0, ,16.2,3.1,98,52,1.55,14.76
VIEWBANK,25/08/2025,1.9,0.0, ,18.8,3.0,100,35,1.54,11.04
VIEWBANK,26/08/2025,2.4,0.0, ,17.1,6.1,92,43,4.87,4.04
VIEWBANK,27/08/2025,2.2,4.0, ,15.5,9.3,98,49,4.91,9.43
VIEWBANK,28/08/2025,2.6,1.2, ,17.2,8.9,79,44,3.85,9.51
VIEWBANK,29/08/2025,2.1,0.6, ,14.2,8.1,85,55,4.55,8.95
VIEWBANK,30/08/2025,1.9,9.8, ,12.3,6.8,98,57,5.13,11.41
VIEWBANK,31/08/2025,1.9,0.8, ,17.2,7.4,95,53,2.43,10.39
Totals:,,49.8,38.2, ,,,,,, 
