'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/09/2025,1.6,0.8, ,15.7,7.6,96,56,1.76,10.07
VIEWBANK,02/09/2025,2.1,0.2, ,16.9,7.3,99,51,2.88,12.57
VIEWBANK,03/09/2025,3.2,0.0, ,19.1,11.9,87,37,4.35,12.98
VIEWBANK,04/09/2025,2.4,1.4, ,16.2,9.7,90,49,3.73,11.61
VIEWBANK,05/09/2025,2.0,1.4, ,15.5,1.0,100,40,1.22,16.61
VIEWBANK,06/09/2025,2.7,0.0, ,21.8,1.0,98,35,1.85,16.46
VIEWBANK,07/09/2025,3.0,0.0, ,21.1,8.5,87,48,4.76,9.30
VIEWBANK,08/09/2025,3.1,1.0, ,19.2,13.2,82,54,4.34,16.08
VIEWBANK,09/09/2025,2.1,0.0, ,16.5,10.9,89,54,2.13,11.55
VIEWBANK,10/09/2025,1.5,0.2, ,13.3,4.8,97,62,2.08,8.86
VIEWBANK,11/09/2025,2.1,0.2, ,15.4,7.1,97,55,2.84,13.02
VIEWBANK,12/09/2025,2.0,0.6, ,17.4,5.5,97,59,2.08,12.56
VIEWBANK,13/09/2025,1.7,0.8, ,17.9,10.8,95,64,1.22,10.07
VIEWBANK,14/09/2025,3.4,0.0, ,21.4,8.5,89,40,3.14,17.74
VIEWBANK,15/09/2025,5.1,0.0, ,24.4,11.9,63,29,4.89,17.16
VIEWBANK,16/09/2025,2.8,0.0, ,18.3,14.7,94,39,4.50,8.02
VIEWBANK,17/09/2025,3.0,2.2, ,17.0,9.2,76,40,3.25,13.95
VIEWBANK,18/09/2025,3.2,0.0, ,19.5,4.1,95,40,3.17,18.78
VIEWBANK,19/09/2025,4.6,0.0, ,22.5,11.8,87,26,5.05,16.96
VIEWBANK,20/09/2025,2.9,0.6, ,16.2,7.3,84,43,3.84,13.89
VIEWBANK,21/09/2025,1.8,0.0, ,15.9,10.2,93,63,3.59,6.53
VIEWBANK,22/09/2025,2.5,4.4, ,13.9,6.9,93,52,3.93,16.69
VIEWBANK,23/09/2025,2.3,1.4, ,18.1,6.8,98,53,2.11,13.24
VIEWBANK,24/09/2025,2.2,0.0, ,17.2,12.3,96,59,3.05,11.07
VIEWBANK,25/09/2025,2.0,1.2, ,16.2,11.3,85,55,2.70,7.61
VIEWBANK,26/09/2025,3.7,0.0, ,24.6,12.7,87,30,3.85,7.14
VIEWBANK,27/09/2025,3.4,0.4, ,20.0,8.0,93,36,3.03,17.48
VIEWBANK,28/09/2025,2.7,0.0, ,17.2,9.6,86,42,1.89,15.89
VIEWBANK,29/09/2025,3.6,0.0, ,22.5,3.8,96,35,2.44,20.31
VIEWBANK,30/09/2025,2.9,0.0, ,22.5,14.2,92,40,2.44,10.73
Totals:,,81.6,16.8, ,,,,,, 
