'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/08/2025,1.0,0.2, ,8.7,1.6,98,76,4.44,10.75
WALLAN (KILMORE GAP),02/08/2025,0.9,0.0, ,9.2,3.4,98,81,3.95,9.47
WALLAN (KILMORE GAP),03/08/2025,2.3,0.0, ,15.0,4.5,83,43,4.52,12.03
WALLAN (KILMORE GAP),04/08/2025,1.9,0.2, ,14.0,5.4,88,72,12.27,10.69
WALLAN (KILMORE GAP),05/08/2025,1.7,3.8, ,11.8,5.8,97,62,8.18,11.46
WALLAN (KILMORE GAP),06/08/2025,1.4,0.4, ,11.1,4.8,93,68,5.79,10.20
WALLAN (KILMORE GAP),07/08/2025,1.3,0.0, ,8.2,3.1,92,66,5.94,9.51
WALLAN (KILMORE GAP),08/08/2025,1.2,0.0, ,10.9,4.3,98,74,6.34,10.61
WALLAN (KILMORE GAP),09/08/2025,1.7,0.0, ,14.9,4.0,98,51,3.01,12.78
WALLAN (KILMORE GAP),10/08/2025,2.1,0.2, ,15.3,7.0,81,51,3.46,12.82
WALLAN (KILMORE GAP),11/08/2025,2.2,0.0, ,13.2,6.2,80,53,5.54,13.05
WALLAN (KILMORE GAP),12/08/2025,1.1,0.0, ,8.9,5.6,98,74,7.43,7.88
WALLAN (KILMORE GAP),13/08/2025,1.2,6.4, ,10.7,4.6,100,72,5.38,10.12
WALLAN (KILMORE GAP),14/08/2025,2.5,0.0, ,13.4,4.8,99,39,6.43,13.46
WALLAN (KILMORE GAP),15/08/2025,1.4,0.0, ,11.1,4.9,97,72,9.40,9.12
WALLAN (KILMORE GAP),16/08/2025,1.6,2.6, ,8.6,3.4,92,55,4.37,11.57
WALLAN (KILMORE GAP),17/08/2025,1.1,0.4, ,8.0,1.4,92,76,4.64,9.67
WALLAN (KILMORE GAP),18/08/2025,1.3,0.6, ,7.1,2.8,92,67,6.28,8.81
WALLAN (KILMORE GAP),19/08/2025,2.1,0.0, ,12.2,2.7,86,49,4.38,14.05
WALLAN (KILMORE GAP),20/08/2025,2.6,0.0, ,15.2,5.0,71,45,4.20,14.34
WALLAN (KILMORE GAP),21/08/2025, ,0.0, , ,7.8,71,45,4.43,14.47
WALLAN (KILMORE GAP),22/08/2025, , , ,14.1, ,98,71,7.74,11.42
WALLAN (KILMORE GAP),23/08/2025,1.5,0.8, ,11.0,7.4,99,65,5.75,10.40
WALLAN (KILMORE GAP),24/08/2025,1.8,0.0, ,11.3,3.9,97,60,5.69,14.95
WALLAN (KILMORE GAP),25/08/2025,2.5,0.0, ,13.5,4.5,97,48,7.49,12.58
WALLAN (KILMORE GAP),26/08/2025,1.6,1.4, ,9.8,7.3,99,64,12.93,4.95
WALLAN (KILMORE GAP),27/08/2025,1.6,12.2, ,11.8,6.5,98,67,8.17,9.39
WALLAN (KILMORE GAP),28/08/2025,1.9,1.6, ,12.1,5.3,89,66,6.72,11.09
WALLAN (KILMORE GAP),29/08/2025,1.4,1.8, ,8.4,4.9,99,68,10.36,8.63
WALLAN (KILMORE GAP),30/08/2025,1.2,14.0, ,8.3,1.7,97,75,8.18,9.16
WALLAN (KILMORE GAP),31/08/2025,1.6,0.2, ,12.5,2.1,95,66,3.97,10.94
Totals:,,47.7,46.8, ,,,,,, 
