'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/09/2025,1.8,0.2, ,12.3,4.6,91,52,2.77,11.66
WALLAN (KILMORE GAP),02/09/2025,1.9,2.2, ,12.2,5.1,98,66,7.28,13.64
WALLAN (KILMORE GAP),03/09/2025,2.7,0.0, ,15.0,5.2,86,55,7.96,12.73
WALLAN (KILMORE GAP),04/09/2025,1.8,0.0, ,12.2,5.1,96,61,5.25,9.35
WALLAN (KILMORE GAP),05/09/2025,2.2,0.8, ,10.5,1.5,91,48,4.63,16.55
WALLAN (KILMORE GAP),06/09/2025,3.1,0.2, ,15.7,3.8,83,55,9.37,16.61
WALLAN (KILMORE GAP),07/09/2025,2.0,0.2, ,13.0,8.4,98,65,13.58,8.42
WALLAN (KILMORE GAP),08/09/2025,1.9,11.4, ,14.0,8.2,100,70,7.70,13.80
WALLAN (KILMORE GAP),09/09/2025,2.0,0.0, ,13.6,6.7,87,65,3.87,12.45
WALLAN (KILMORE GAP),10/09/2025,1.5,0.0, ,9.3,3.6,97,70,9.54,10.04
WALLAN (KILMORE GAP),11/09/2025,1.8,2.6, ,10.8,4.9,98,65,6.70,12.37
WALLAN (KILMORE GAP),12/09/2025,1.8,2.4, ,12.6,4.4,97,66,4.37,12.76
WALLAN (KILMORE GAP),13/09/2025,1.9,0.2, ,14.1,8.0,99,65,2.76,12.84
WALLAN (KILMORE GAP),14/09/2025,3.2,0.0, ,16.2,6.5,91,55,10.11,18.01
WALLAN (KILMORE GAP),15/09/2025,4.4,0.2, ,18.5,6.4,89,45,13.70,18.70
WALLAN (KILMORE GAP),16/09/2025,2.7,3.2, ,13.2,9.6,96,52,9.39,13.21
WALLAN (KILMORE GAP),17/09/2025,2.3,1.0, ,11.7,5.4,89,51,4.67,12.49
WALLAN (KILMORE GAP),18/09/2025,2.9,0.0, ,14.6,4.0,91,55,8.50,18.73
WALLAN (KILMORE GAP),19/09/2025,3.9,0.0, ,17.2,7.0,82,48,11.36,16.58
WALLAN (KILMORE GAP),20/09/2025,2.6,0.0, ,11.8,4.1,85,51,5.38,16.04
WALLAN (KILMORE GAP),21/09/2025,1.1,0.0, ,11.0,5.5,97,80,5.92,5.84
WALLAN (KILMORE GAP),22/09/2025,2.1,3.4, ,9.9,3.5,96,58,6.56,15.26
WALLAN (KILMORE GAP),23/09/2025,2.0,0.6, ,13.8,4.7,95,66,4.73,13.09
WALLAN (KILMORE GAP),24/09/2025,1.9,0.0, ,13.8,6.6,98,69,4.25,12.97
WALLAN (KILMORE GAP),25/09/2025,1.9,0.2, ,13.6,7.0,95,68,5.32,9.91
WALLAN (KILMORE GAP),26/09/2025,4.5,0.2, ,20.5,7.1,89,36,9.08,11.44
WALLAN (KILMORE GAP),27/09/2025,2.8,0.0, ,14.8,6.2,97,57,5.68,19.80
WALLAN (KILMORE GAP),28/09/2025,2.7,0.0, ,13.2,5.8,88,50,3.84,16.96
WALLAN (KILMORE GAP),29/09/2025,3.6,0.0, ,16.9,6.1,83,52,7.21,20.22
WALLAN (KILMORE GAP),30/09/2025,3.7,0.4, ,17.0,9.5,88,43,8.60,14.03
Totals:,,74.7,29.4, ,,,,,, 
