'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/08/2025,1.8,0.2, ,15.0,2.0,96,46,2.96,12.81
WALPEUP RESEARCH,02/08/2025,1.6,0.2, ,15.6,1.2,98,41,1.90,12.96
WALPEUP RESEARCH,03/08/2025,2.3,0.0, ,18.0,3.2,87,38,2.88,13.00
WALPEUP RESEARCH,04/08/2025,3.4,0.0, ,20.2,5.2,80,39,5.80,11.12
WALPEUP RESEARCH,05/08/2025,2.4,0.4, ,17.4,4.7,91,44,3.94,13.10
WALPEUP RESEARCH,06/08/2025,1.7,0.0, ,16.6,5.5,89,59,2.66,11.95
WALPEUP RESEARCH,07/08/2025,1.8,0.0, ,13.8,2.4,93,46,2.85,13.55
WALPEUP RESEARCH,08/08/2025,2.0,0.0, ,15.6,3.2,87,48,3.02,13.55
WALPEUP RESEARCH,09/08/2025,2.1,0.4, ,18.3,6.2,93,50,3.07,11.48
WALPEUP RESEARCH,10/08/2025,2.1,0.0, ,18.9,7.7,85,55,2.90,13.22
WALPEUP RESEARCH,11/08/2025,2.7,0.0, ,20.9,6.2,84,41,3.10,14.07
WALPEUP RESEARCH,12/08/2025,1.5,4.6, ,16.2,9.7,97,65,2.90,6.99
WALPEUP RESEARCH,13/08/2025,1.8,2.6, ,16.1,3.5,98,54,2.59,14.12
WALPEUP RESEARCH,14/08/2025,2.3,0.0, ,17.7,5.9,88,42,2.81,14.48
WALPEUP RESEARCH,15/08/2025,2.5,0.0, ,16.2,8.5,88,47,4.91,10.25
WALPEUP RESEARCH,16/08/2025,2.0,0.2, ,14.4,3.0,97,47,3.20,14.07
WALPEUP RESEARCH,17/08/2025,2.3,0.4, ,15.6,4.2,94,40,3.16,13.95
WALPEUP RESEARCH,18/08/2025,2.2,0.2, ,15.9,3.1,98,43,3.40,13.74
WALPEUP RESEARCH,19/08/2025,2.0,0.0, ,14.9,2.1,85,42,2.23,15.01
WALPEUP RESEARCH,20/08/2025,2.6,0.0, ,19.2,4.7,81,43,2.92,15.35
WALPEUP RESEARCH,21/08/2025,2.6,0.0, ,19.9,6.3,85,45,2.75,15.09
WALPEUP RESEARCH,22/08/2025,2.9,0.0, ,20.6,10.7,75,38,3.04,11.10
WALPEUP RESEARCH,23/08/2025,2.4,0.0, ,19.9,4.6,98,48,2.67,13.62
WALPEUP RESEARCH,24/08/2025,2.5,0.0, ,18.6,5.0,85,41,2.35,15.87
WALPEUP RESEARCH,25/08/2025,3.3,0.0, ,21.6,7.1,76,31,3.48,11.68
WALPEUP RESEARCH,26/08/2025,1.7,4.0, ,14.7,11.1,95,59,4.29,5.43
WALPEUP RESEARCH,27/08/2025,2.5,6.4, ,16.4,7.7,96,57,6.11,14.79
WALPEUP RESEARCH,28/08/2025,2.5,1.6, ,16.4,6.8,93,56,5.99,12.23
WALPEUP RESEARCH,29/08/2025,2.8,3.6, ,14.3,7.3,91,47,8.29,12.03
WALPEUP RESEARCH,30/08/2025,2.5,3.4, ,14.6,3.4,90,48,4.79,15.05
WALPEUP RESEARCH,31/08/2025,1.7,0.0, ,14.9,4.1,98,61,2.05,11.79
Totals:,,70.5,28.2, ,,,,,, 
