'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/09/2025,1.9,0.0, ,16.2,6.7,97,52,1.46,13.32
WALPEUP RESEARCH,02/09/2025,3.4,0.0, ,20.4,5.2,91,36,3.88,15.99
WALPEUP RESEARCH,03/09/2025,2.9,0.0, ,19.4,8.5,89,46,3.66,13.58
WALPEUP RESEARCH,04/09/2025,3.0,0.0, ,19.8,3.5,95,41,3.44,15.66
WALPEUP RESEARCH,05/09/2025,2.9,0.0, ,16.8,3.3,87,34,3.48,15.79
WALPEUP RESEARCH,06/09/2025,4.2,0.0, ,24.5,4.7,74,31,4.21,11.72
WALPEUP RESEARCH,07/09/2025,5.6,3.4, ,27.9,10.6,86,32,6.48,14.41
WALPEUP RESEARCH,08/09/2025,4.0,0.2, ,23.0,5.7,92,27,3.61,18.28
WALPEUP RESEARCH,09/09/2025,2.6,0.0, ,19.8,6.4,97,41,2.13,14.77
WALPEUP RESEARCH,10/09/2025,2.1,11.6, ,15.0,7.3,96,61,5.00,10.37
WALPEUP RESEARCH,11/09/2025,2.6,0.2, ,16.6,4.8,96,49,3.70,15.43
WALPEUP RESEARCH,12/09/2025,2.3,0.0, ,17.8,1.8,98,49,1.79,15.90
WALPEUP RESEARCH,13/09/2025,2.6,0.2, ,20.4,4.4,98,40,1.29,18.29
WALPEUP RESEARCH,14/09/2025,4.8,0.0, ,23.0,7.9,79,27,4.84,19.44
WALPEUP RESEARCH,15/09/2025,8.3,0.0, ,29.7,10.2,59,17,7.86,18.18
WALPEUP RESEARCH,16/09/2025,2.2,7.8, ,16.5,11.1,96,50,3.52,8.59
WALPEUP RESEARCH,17/09/2025,3.2,1.8, ,18.1,4.7,95,36,2.93,19.58
WALPEUP RESEARCH,18/09/2025,4.7,0.0, ,22.9,6.2,80,27,4.46,20.17
WALPEUP RESEARCH,19/09/2025,5.4,0.0, ,25.1,10.3,93,26,5.81,19.89
WALPEUP RESEARCH,20/09/2025,2.9,1.6, ,17.6,5.6,97,45,3.91,16.08
WALPEUP RESEARCH,21/09/2025,3.5,0.0, ,20.7,6.8,91,46,4.75,15.17
WALPEUP RESEARCH,22/09/2025, ,0.0, , ,3.5,96,33,4.24,18.15
WALPEUP RESEARCH,23/09/2025,3.0, , ,19.6,2.4,97,43,2.77,17.51
WALPEUP RESEARCH,24/09/2025,4.2,0.0, ,23.3,8.9,89,40,4.12,19.87
WALPEUP RESEARCH,25/09/2025,4.2,0.0, ,23.0,5.7,95,34,3.56,20.57
WALPEUP RESEARCH,26/09/2025,6.5,0.0, ,27.8,8.3,87,17,5.65,19.78
WALPEUP RESEARCH,27/09/2025,3.9,0.0, ,22.3,5.4,97,32,2.87,20.71
WALPEUP RESEARCH,28/09/2025,3.0,0.0, ,20.7,5.2,93,40,1.71,18.03
WALPEUP RESEARCH,29/09/2025,5.7,0.0, ,26.9,8.8,72,23,4.79,17.23
WALPEUP RESEARCH,30/09/2025,4.4,0.2, ,22.5,12.8,93,30,4.72,16.71
Totals:,,110,27, ,,,,,, 
