'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/10/2025,4.0,0.0, ,20.0,6.8,92,37,6.03,15.29
WALPEUP RESEARCH,02/10/2025,4.6,0.4, ,20.2,7.9,87,31,5.98,19.74
WALPEUP RESEARCH,03/10/2025,4.1,0.0, ,23.3,5.4,92,38,3.51,20.15
WALPEUP RESEARCH,04/10/2025,6.1,0.0, ,29.7,8.1,95,17,3.68,22.49
WALPEUP RESEARCH,05/10/2025,10.0,0.0, ,35.2,14.4,61,10,6.86,19.93
WALPEUP RESEARCH,06/10/2025,2.4,0.0, ,17.2,12.1,91,49,3.07,9.57
WALPEUP RESEARCH,07/10/2025,4.1,0.0, ,22.9,5.2,85,27,2.32,21.71
WALPEUP RESEARCH,08/10/2025,5.2,0.0, ,26.8,8.3,74,30,3.34,22.01
WALPEUP RESEARCH,09/10/2025,5.1,0.0, ,24.7,6.9,94,27,3.94,22.30
WALPEUP RESEARCH,10/10/2025,6.2,0.0, ,25.8,7.2,81,24,5.57,22.52
WALPEUP RESEARCH,11/10/2025,5.1,0.0, ,24.5,7.2,92,27,4.20,21.94
WALPEUP RESEARCH,12/10/2025,4.6, , ,23.3,4.8,97,28,4.38,17.02
WALPEUP RESEARCH,13/10/2025,4.2,0.0, ,23.7,3.8,96,24,2.22,22.39
WALPEUP RESEARCH,14/10/2025,4.8,0.0, ,25.4,4.2,91,29,3.12,22.16
Totals:,,70.5,0.4, ,,,,,, 
