'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/08/2025,1.2,0.2, ,14.4,-0.9,97,44,1.07,12.14
WANGARATTA AERO,02/08/2025,1.5,0.0, ,17.0,-0.4,98,48,1.63,12.37
WANGARATTA AERO,03/08/2025,1.2,0.0, ,17.8,-0.6,98,45,0.78,12.48
WANGARATTA AERO,04/08/2025,1.4,0.0, ,18.0,0.5,99,60,1.72,12.07
WANGARATTA AERO,05/08/2025,1.4,1.6, ,15.0,6.1,98,61,2.45,11.82
WANGARATTA AERO,06/08/2025,1.1,0.2, ,13.9,1.5,99,68,1.20,10.28
WANGARATTA AERO,07/08/2025,1.4,0.0, ,14.0,-1.2,98,46,1.40,12.97
WANGARATTA AERO,08/08/2025,1.6,0.2, ,16.9,-1.1,98,40,1.61,13.10
WANGARATTA AERO,09/08/2025,1.4,0.0, ,16.7,-0.2,98,49,1.04,13.13
WANGARATTA AERO,10/08/2025,1.3,0.0, ,17.5,-0.4,98,39,0.72,13.35
WANGARATTA AERO,11/08/2025,1.2,0.0, ,16.8,-1.2,99,42,0.43,13.35
WANGARATTA AERO,12/08/2025,1.5,0.0, ,16.6,-0.6,98,47,1.36,12.38
WANGARATTA AERO,13/08/2025,1.9,2.2, ,16.2,5.8,98,46,2.50,12.19
WANGARATTA AERO,14/08/2025,1.6,0.2, ,17.1,-1.5,97,39,1.18,13.90
WANGARATTA AERO,15/08/2025,1.5,0.0, ,15.3,1.1,98,62,2.40,11.42
WANGARATTA AERO,16/08/2025,1.7,1.2, ,12.5,5.5,97,49,3.13,11.25
WANGARATTA AERO,17/08/2025,1.1,0.2, ,11.2,0.5,98,61,0.89,10.31
WANGARATTA AERO,18/08/2025,1.6,0.0, ,13.8,-1.6,98,42,1.42,14.45
WANGARATTA AERO,19/08/2025,1.6,0.2, ,16.3,-2.4,98,28,0.95,14.46
WANGARATTA AERO,20/08/2025,1.7,0.0, ,18.4,-2.0,97,38,0.99,14.74
WANGARATTA AERO,21/08/2025,1.8,0.0, ,19.9,0.0,98,39,1.15,13.03
WANGARATTA AERO,22/08/2025,1.3,0.0, ,15.8,3.8,98,68,1.15,10.64
WANGARATTA AERO,23/08/2025, ,0.0, , ,2.4,99,46,2.01,14.92
WANGARATTA AERO,24/08/2025, , , , ,-0.6,96,44,1.41,15.37
WANGARATTA AERO,25/08/2025,2.0, , ,18.5,-1.0,98,34,1.37,15.30
WANGARATTA AERO,26/08/2025,1.6,0.0, ,16.4,7.2,92,63,3.37,5.51
WANGARATTA AERO,27/08/2025,1.8,5.2, ,13.3,9.3,88,71,7.43,8.28
WANGARATTA AERO,28/08/2025,2.0,4.8, ,14.4,7.2,93,62,5.80,11.33
WANGARATTA AERO,29/08/2025,2.3,0.6, ,15.0,7.4,93,55,7.15,8.22
WANGARATTA AERO,30/08/2025,2.7,5.0, ,13.1,5.9,92,43,6.75,14.62
WANGARATTA AERO,31/08/2025,1.8,0.0, ,15.2,3.7,95,57,2.09,11.85
Totals:,,46.2,21.8, ,,,,,, 
