'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/09/2025,1.9,0.0, ,15.2,5.9,96,57,1.80,14.09
WANGARATTA AERO,02/09/2025,1.8,0.0, ,15.2,0.7,98,44,1.56,12.15
WANGARATTA AERO,03/09/2025,2.7,0.0, ,19.4,4.8,93,44,2.85,15.43
WANGARATTA AERO,04/09/2025,1.9,0.2, ,16.3,7.4,98,55,3.03,9.29
WANGARATTA AERO,05/09/2025,2.1,0.0, ,15.1,-2.3,97,40,1.49,17.14
WANGARATTA AERO,06/09/2025,2.6,0.0, ,19.8,-0.6,97,48,2.39,17.24
WANGARATTA AERO,07/09/2025,2.4,0.0, ,18.6,6.0,95,53,4.52,7.82
WANGARATTA AERO,08/09/2025,2.9,3.6, ,20.6,10.9,97,43,2.32,17.73
WANGARATTA AERO,09/09/2025,2.3,0.0, ,18.5,1.5,99,48,1.40,17.65
WANGARATTA AERO,10/09/2025,1.5,0.2, ,13.5,3.1,97,59,2.60,7.35
WANGARATTA AERO,11/09/2025,3.2,6.6, ,17.2,5.3,83,42,4.32,17.95
WANGARATTA AERO,12/09/2025,2.5,0.0, ,16.3,1.3,95,51,2.94,17.15
WANGARATTA AERO,13/09/2025,2.2,0.0, ,18.7,2.7,98,50,1.02,16.32
WANGARATTA AERO,14/09/2025,2.3,0.0, ,19.0,3.4,98,50,1.71,14.53
WANGARATTA AERO,15/09/2025,3.3,0.0, ,22.1,2.6,98,41,2.79,19.18
WANGARATTA AERO,16/09/2025,1.6,0.0, ,14.7,10.9,94,58,2.68,5.01
WANGARATTA AERO,17/09/2025,2.7,9.0, ,16.0,7.3,94,43,2.90,16.68
WANGARATTA AERO,18/09/2025, ,0.0, , ,0.5,98,45,1.46,18.71
WANGARATTA AERO,19/09/2025, , , ,19.1, ,98,55,2.71,12.93
WANGARATTA AERO,20/09/2025,3.2,0.2, ,14.7,7.1,80,46,5.20,17.82
WANGARATTA AERO,21/09/2025,1.8,0.0, ,14.7,8.3,93,65,3.22,8.87
WANGARATTA AERO,22/09/2025,2.8,1.4, ,13.9,5.1,94,49,5.26,18.71
WANGARATTA AERO,23/09/2025,2.5,0.0, ,16.2,0.6,95,59,2.67,18.84
WANGARATTA AERO,24/09/2025,2.3,0.0, ,17.1,5.2,96,54,2.46,13.57
WANGARATTA AERO,25/09/2025,1.9,0.0, ,15.4,3.3,96,62,2.15,11.77
WANGARATTA AERO,26/09/2025,5.0,0.0, ,25.0,9.3,85,25,4.28,18.34
WANGARATTA AERO,27/09/2025,3.5,0.0, ,20.5,3.2,97,41,2.76,21.20
WANGARATTA AERO,28/09/2025,3.0,0.0, ,18.1,3.7,97,44,2.53,19.86
WANGARATTA AERO,29/09/2025,3.1,0.0, ,20.1,0.5,98,34,1.29,21.79
WANGARATTA AERO,30/09/2025,2.8,0.0, ,22.1,7.8,93,43,2.64,10.41
Totals:,,71.8,21.2, ,,,,,, 
