'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,01/08/2025,1.1,0.2, ,13.8,-0.8,97,55,1.78,9.69
WARRNAMBOOL AIRPORT NDB,02/08/2025,1.2,0.0, ,15.1,4.9,95,66,2.16,9.37
WARRNAMBOOL AIRPORT NDB,03/08/2025,2.1,0.0, ,17.2,-0.6,97,51,4.56,11.54
WARRNAMBOOL AIRPORT NDB,04/08/2025,2.8,0.0, ,17.6,4.2,88,51,8.70,7.95
WARRNAMBOOL AIRPORT NDB,05/08/2025,2.1,1.4, ,15.4,8.0,89,63,7.34,11.06
WARRNAMBOOL AIRPORT NDB,06/08/2025,1.8,3.4, ,12.4,8.2,95,52,5.47,10.25
WARRNAMBOOL AIRPORT NDB,07/08/2025,1.2,0.6, ,12.1,5.8,93,63,2.63,6.70
WARRNAMBOOL AIRPORT NDB,08/08/2025,1.0,0.2, ,13.3,2.4,97,82,2.70,9.69
WARRNAMBOOL AIRPORT NDB,09/08/2025,1.5,0.0, ,16.5,2.8,97,58,2.42,12.36
WARRNAMBOOL AIRPORT NDB,10/08/2025,2.2,0.2, ,18.4,3.0,96,53,4.29,12.49
WARRNAMBOOL AIRPORT NDB,11/08/2025,2.4,0.0, ,17.8,4.0,92,51,5.24,12.62
WARRNAMBOOL AIRPORT NDB,12/08/2025,1.2,6.6, ,14.1,8.4,95,76,4.95,6.32
WARRNAMBOOL AIRPORT NDB,13/08/2025,1.5,3.4, ,14.6,4.9,96,65,3.53,12.11
WARRNAMBOOL AIRPORT NDB,14/08/2025,2.4,0.0, ,17.6,2.0,96,52,5.18,12.54
WARRNAMBOOL AIRPORT NDB,15/08/2025,2.5,0.2, ,14.5,8.8,90,51,8.33,8.39
WARRNAMBOOL AIRPORT NDB,16/08/2025,1.5,7.6, ,11.9,4.4,94,66,5.14,11.44
WARRNAMBOOL AIRPORT NDB,17/08/2025,1.3,1.8, ,12.7,2.7,93,70,3.61,9.06
WARRNAMBOOL AIRPORT NDB,18/08/2025,1.2,0.0, ,12.1,2.1,94,60,1.68,7.84
WARRNAMBOOL AIRPORT NDB,19/08/2025,1.7,0.0, ,14.0,0.4,96,54,2.58,13.61
WARRNAMBOOL AIRPORT NDB,20/08/2025,2.3,0.2, ,18.0,-1.5,95,50,3.56,13.93
WARRNAMBOOL AIRPORT NDB,21/08/2025,2.6,0.0, ,19.5,2.1,92,51,4.51,13.92
WARRNAMBOOL AIRPORT NDB,22/08/2025,2.0,0.0, ,17.2,9.0,93,58,4.56,6.81
WARRNAMBOOL AIRPORT NDB,23/08/2025,1.9,0.2, ,14.5,7.0,96,58,3.47,13.55
WARRNAMBOOL AIRPORT NDB,24/08/2025,1.9,0.0, ,15.4,-0.4,95,57,2.90,14.56
WARRNAMBOOL AIRPORT NDB,25/08/2025,2.3,0.0, ,16.3,4.8,91,56,6.27,8.46
WARRNAMBOOL AIRPORT NDB,26/08/2025,2.5,1.4, ,17.2,9.3,92,59,7.63,10.22
WARRNAMBOOL AIRPORT NDB,27/08/2025,2.3,2.6, ,13.3,7.7,91,59,9.57,11.98
WARRNAMBOOL AIRPORT NDB,28/08/2025,2.0,9.2, ,13.8,6.7,93,66,7.23,12.19
WARRNAMBOOL AIRPORT NDB,29/08/2025,1.6,2.4, ,11.0,7.6,95,71,11.01,8.66
WARRNAMBOOL AIRPORT NDB,30/08/2025,2.2,11.8, ,12.5,5.9,94,58,9.86,11.12
WARRNAMBOOL AIRPORT NDB,31/08/2025,1.6,2.0, ,15.1,6.6,96,75,5.37,9.92
Totals:,,57.9,55.4, ,,,,,, 
