'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,01/09/2025,1.8,2.0, ,14.7,7.7,95,73,4.84,12.93
WARRNAMBOOL AIRPORT NDB,02/09/2025,2.5,2.6, ,16.4,6.4,94,58,7.55,12.95
WARRNAMBOOL AIRPORT NDB,03/09/2025,2.8,5.6, ,16.3,9.2,94,52,7.51,12.99
WARRNAMBOOL AIRPORT NDB,04/09/2025,2.2,11.2, ,12.3,7.8,94,57,6.93,13.27
WARRNAMBOOL AIRPORT NDB,05/09/2025,2.2,0.4, ,13.7,2.0,94,50,3.42,15.57
WARRNAMBOOL AIRPORT NDB,06/09/2025,3.1,0.0, ,18.5,2.3,90,52,7.04,13.30
WARRNAMBOOL AIRPORT NDB,07/09/2025,3.0,3.0, ,21.0,9.4,94,60,9.05,8.68
WARRNAMBOOL AIRPORT NDB,08/09/2025,2.6,6.8, ,17.3,11.2,93,60,7.18,11.75
WARRNAMBOOL AIRPORT NDB,09/09/2025,2.2,1.6, ,13.7,9.0,96,60,4.42,16.40
WARRNAMBOOL AIRPORT NDB,10/09/2025, ,0.6, , ,3.6,98,76,4.12,13.68
WARRNAMBOOL AIRPORT NDB,11/09/2025, , , ,14.1, ,94,69,6.15,14.16
WARRNAMBOOL AIRPORT NDB,12/09/2025,1.9,0.6, ,15.4,5.7,96,74,5.53,14.45
WARRNAMBOOL AIRPORT NDB,13/09/2025,2.1,3.8, ,17.5,10.8,97,66,3.51,11.86
WARRNAMBOOL AIRPORT NDB,14/09/2025,3.9,0.0, ,20.1,4.6,92,46,7.45,18.21
WARRNAMBOOL AIRPORT NDB,15/09/2025,4.9,0.0, ,23.3,10.8,88,37,8.13,15.26
WARRNAMBOOL AIRPORT NDB,16/09/2025,2.8,1.2, ,16.3,10.3,90,58,8.11,13.78
WARRNAMBOOL AIRPORT NDB,17/09/2025,2.6,4.0, ,14.1,6.3,93,53,6.00,15.78
WARRNAMBOOL AIRPORT NDB,18/09/2025,3.5,0.0, ,19.4,1.9,95,47,5.96,18.09
WARRNAMBOOL AIRPORT NDB,19/09/2025,3.7,0.2, ,18.6,9.0,92,48,8.17,18.38
WARRNAMBOOL AIRPORT NDB,20/09/2025,2.3,8.2, ,13.5,5.9,93,63,8.26,13.16
WARRNAMBOOL AIRPORT NDB,21/09/2025,2.2,0.2, ,15.4,9.6,95,70,8.19,13.87
WARRNAMBOOL AIRPORT NDB,22/09/2025,2.5,2.4, ,14.2,7.8,91,65,7.40,16.88
WARRNAMBOOL AIRPORT NDB,23/09/2025,1.7,0.4, ,15.4,8.0,94,77,5.68,10.06
WARRNAMBOOL AIRPORT NDB,24/09/2025,2.1,0.8, ,15.8,10.2,95,75,6.39,14.38
WARRNAMBOOL AIRPORT NDB,25/09/2025,1.9,1.0, ,15.0,10.2,95,76,5.99,12.58
WARRNAMBOOL AIRPORT NDB,26/09/2025,2.4,0.4, ,17.5,11.1,92,70,7.61,11.03
WARRNAMBOOL AIRPORT NDB,27/09/2025,2.3,2.0, ,14.9,7.6,95,64,6.35,13.27
WARRNAMBOOL AIRPORT NDB,28/09/2025,2.2,4.2, ,14.0,5.5,95,63,3.24,15.45
WARRNAMBOOL AIRPORT NDB,29/09/2025,2.2,0.0, ,18.3,4.9,97,62,3.85,10.37
WARRNAMBOOL AIRPORT NDB,30/09/2025,2.4,14.6, ,16.2,12.0,98,72,5.49,17.25
Totals:,,72,77.8, ,,,,,, 
