'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WESTMERE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WESTMERE,01/08/2025,0.9,0.2, ,11.2,0.5,98,74,1.76,8.54
WESTMERE,02/08/2025,1.1,0.0, ,13.2,3.8,98,66,1.92,10.39
WESTMERE,03/08/2025,1.7,0.2, ,15.3,-0.7,96,54,3.26,11.90
WESTMERE,04/08/2025,2.8,0.0, ,16.6,3.9,91,50,8.92,10.37
WESTMERE,05/08/2025,1.7,2.6, ,14.3,5.8,91,64,4.92,10.41
WESTMERE,06/08/2025,1.4,0.8, ,11.7,6.2,95,57,3.46,9.34
WESTMERE,07/08/2025,1.0,0.2, ,10.5,-0.4,96,61,1.84,7.52
WESTMERE,08/08/2025,1.2,0.0, ,13.7,4.4,97,71,2.56,9.20
WESTMERE,09/08/2025, ,0.0, , ,-1.5,98,52,0.88,12.64
WESTMERE,10/08/2025,1.5, , ,16.3,-1.1,97,53,1.68,12.78
WESTMERE,11/08/2025,1.9,0.0, ,16.1,0.7,95,49,2.99,12.91
WESTMERE,12/08/2025,1.0,1.6, ,11.9,4.6,96,79,3.42,5.72
WESTMERE,13/08/2025,1.4,3.4, ,14.2,2.4,98,61,1.98,12.00
WESTMERE,14/08/2025,2.0,0.2, ,16.0,-0.5,98,51,3.64,13.32
WESTMERE,15/08/2025,1.7,0.0, ,13.7,6.2,89,67,6.07,7.94
WESTMERE,16/08/2025,1.3,1.8, ,10.5,2.4,95,65,3.55,11.00
WESTMERE,17/08/2025,1.1,0.4, ,11.5,2.2,96,77,3.00,8.35
WESTMERE,18/08/2025,1.2,7.8, ,10.0,0.7,97,61,2.48,9.62
WESTMERE,19/08/2025,1.5,0.0, ,13.2,-2.7,95,52,1.55,13.89
WESTMERE,20/08/2025,1.9,0.2, ,16.9,-2.5,95,50,2.42,14.21
WESTMERE,21/08/2025,2.0,0.0, ,17.8,-1.0,94,51,2.54,14.37
WESTMERE,22/08/2025,1.5,0.2, ,15.0,6.5,90,71,4.44,7.32
WESTMERE,23/08/2025, ,0.2, , ,3.5,97,57,2.12,12.93
WESTMERE,24/08/2025, , , ,13.5, ,97,62,1.76,14.82
WESTMERE,25/08/2025,2.0,0.0, ,15.0,0.3,95,56,4.71,11.06
WESTMERE,26/08/2025,2.1,0.2, ,12.9,8.1,94,55,7.61,6.91
WESTMERE,27/08/2025,2.1,2.2, ,13.2,7.2,88,64,7.35,12.06
WESTMERE,28/08/2025,1.7,8.8, ,13.0,5.6,93,71,5.63,12.65
WESTMERE,29/08/2025,1.2,0.4, ,10.7,6.7,95,77,7.59,6.77
WESTMERE,30/08/2025,2.0,13.2, ,11.6,4.1,94,60,6.94,14.19
WESTMERE,31/08/2025,1.8,0.8, ,14.7,6.1,96,69,3.95,13.31
Totals:,,44.7,45.4, ,,,,,, 
