'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/08/2025,1.0,0.8, ,11.7,9.0,89,79,2.79,7.55
WILSONS PROMONTORY LIGHTHOUSE,02/08/2025,1.3,0.2, ,12.8,9.9,92,76,6.96,8.57
WILSONS PROMONTORY LIGHTHOUSE,03/08/2025,1.4,1.0, ,13.1,10.4,90,80,8.18,10.65
WILSONS PROMONTORY LIGHTHOUSE,04/08/2025,2.2,0.2, ,15.3,10.4,95,52,6.64,11.34
WILSONS PROMONTORY LIGHTHOUSE,05/08/2025,2.1,6.0, ,13.1,10.1,85,57,6.82,9.52
WILSONS PROMONTORY LIGHTHOUSE,06/08/2025,2.8,1.8, ,12.6,9.8,85,50,12.14,10.47
WILSONS PROMONTORY LIGHTHOUSE,07/08/2025,2.3,0.4, ,12.8,9.6,87,53,7.88,9.47
WILSONS PROMONTORY LIGHTHOUSE,08/08/2025,1.4,0.0, ,13.2,9.8,88,74,5.07,8.96
WILSONS PROMONTORY LIGHTHOUSE,09/08/2025,1.3,0.0, ,13.1,10.6,91,81,8.23,8.91
WILSONS PROMONTORY LIGHTHOUSE,10/08/2025,1.7,0.0, ,13.3,10.8,88,74,8.38,12.10
WILSONS PROMONTORY LIGHTHOUSE,11/08/2025,1.8,0.0, ,13.3,11.1,85,76,8.34,12.04
WILSONS PROMONTORY LIGHTHOUSE,12/08/2025,2.0,0.0, ,13.8,10.5,88,61,6.31,10.93
WILSONS PROMONTORY LIGHTHOUSE,13/08/2025,1.9,2.4, ,12.4,10.5,90,68,10.51,9.36
WILSONS PROMONTORY LIGHTHOUSE,14/08/2025,1.8,0.0, ,14.9,10.5,84,68,4.76,10.09
WILSONS PROMONTORY LIGHTHOUSE,15/08/2025,3.0,0.0, ,15.3,10.1,87,36,7.29,5.38
WILSONS PROMONTORY LIGHTHOUSE,16/08/2025,2.0,25.4, ,10.6,6.4,90,58,9.98,9.55
WILSONS PROMONTORY LIGHTHOUSE,17/08/2025,1.8,3.2, ,10.8,6.1,83,49,3.88,10.89
WILSONS PROMONTORY LIGHTHOUSE,18/08/2025,1.8,1.0, ,12.5,7.6,62,40,1.78,13.24
WILSONS PROMONTORY LIGHTHOUSE,19/08/2025,2.0,0.0, ,12.8,7.9,84,58,4.41,13.28
WILSONS PROMONTORY LIGHTHOUSE,20/08/2025,1.8,0.0, ,13.4,10.0,92,69,5.63,13.46
WILSONS PROMONTORY LIGHTHOUSE,21/08/2025,1.4,0.2, ,14.0,9.9,92,84,9.20,9.73
WILSONS PROMONTORY LIGHTHOUSE,22/08/2025,2.1,0.0, ,16.6,11.8,89,58,4.91,6.81
WILSONS PROMONTORY LIGHTHOUSE,23/08/2025,2.4,0.8, ,13.2,10.8,92,57,9.74,11.61
WILSONS PROMONTORY LIGHTHOUSE,24/08/2025,2.0,0.0, ,13.3,9.8,81,67,4.50,13.22
WILSONS PROMONTORY LIGHTHOUSE,25/08/2025, ,0.2, , ,10.7,95,78,6.00,10.78
WILSONS PROMONTORY LIGHTHOUSE,26/08/2025, , , , , , , , ,6.06
WILSONS PROMONTORY LIGHTHOUSE,27/08/2025,2.2, , ,12.6,10.3,87,63,11.59,7.50
WILSONS PROMONTORY LIGHTHOUSE,28/08/2025,1.8,39.4, ,11.2,7.0,90,68,11.70,8.80
WILSONS PROMONTORY LIGHTHOUSE,29/08/2025,2.5,28.4, ,14.3,7.5,85,57,8.41,10.04
WILSONS PROMONTORY LIGHTHOUSE,30/08/2025,2.9,14.8, ,12.5,7.4,92,51,17.02,12.59
WILSONS PROMONTORY LIGHTHOUSE,31/08/2025,1.9,2.2, ,12.7,8.0,88,72,11.48,8.74
Totals:,,56.6,128.4, ,,,,,, 
