'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/09/2025,1.5,10.2, ,12.0,9.9,90,78,8.81,7.44
WILSONS PROMONTORY LIGHTHOUSE,02/09/2025,2.9,1.6, ,15.3,10.2,87,43,5.82,13.61
WILSONS PROMONTORY LIGHTHOUSE,03/09/2025,2.9,0.0, ,14.3,11.5,89,53,11.21,12.38
WILSONS PROMONTORY LIGHTHOUSE,04/09/2025,2.2,27.8, ,10.7,7.3,89,58,13.31,5.95
WILSONS PROMONTORY LIGHTHOUSE,05/09/2025,3.1,7.8, ,12.4,6.0,70,52,9.48,15.08
WILSONS PROMONTORY LIGHTHOUSE,06/09/2025,3.3,0.0, ,15.1,8.8,80,43,6.64,16.27
WILSONS PROMONTORY LIGHTHOUSE,07/09/2025, ,0.0, , ,10.4, , , ,8.11
WILSONS PROMONTORY LIGHTHOUSE,08/09/2025, , , ,16.1, ,86,62,11.90,14.16
WILSONS PROMONTORY LIGHTHOUSE,09/09/2025,2.9,4.2, ,12.6,10.0,89,53,12.47,16.11
WILSONS PROMONTORY LIGHTHOUSE,10/09/2025,1.9,0.0, ,11.1,9.0,90,63,5.49,10.06
WILSONS PROMONTORY LIGHTHOUSE,11/09/2025,2.3,0.2, ,12.7,9.4,88,62,10.20,10.29
WILSONS PROMONTORY LIGHTHOUSE,12/09/2025,2.2,1.0, ,13.9,10.0,89,71,11.06,11.41
WILSONS PROMONTORY LIGHTHOUSE,13/09/2025,2.1,0.4, ,16.1,11.3,89,76,9.22,11.17
WILSONS PROMONTORY LIGHTHOUSE,14/09/2025,3.8,0.0, ,19.4,11.2,87,43,5.83,17.94
WILSONS PROMONTORY LIGHTHOUSE,15/09/2025,6.0,0.0, ,23.1,15.6,66,28,8.04,17.25
WILSONS PROMONTORY LIGHTHOUSE,16/09/2025,2.6,4.2, ,15.8,12.7,87,60,7.56,9.99
WILSONS PROMONTORY LIGHTHOUSE,17/09/2025,2.7,8.4, ,13.7,7.7,84,61,11.77,12.96
WILSONS PROMONTORY LIGHTHOUSE,18/09/2025, ,0.8, , ,8.5,79,41,5.17,18.19
WILSONS PROMONTORY LIGHTHOUSE,19/09/2025, , , ,22.3, ,78,30,9.30,15.24
WILSONS PROMONTORY LIGHTHOUSE,20/09/2025,3.2,5.4, ,12.4,7.3,86,52,15.80,16.26
WILSONS PROMONTORY LIGHTHOUSE,21/09/2025,2.6,1.4, ,13.7,9.2,88,60,13.47,8.95
WILSONS PROMONTORY LIGHTHOUSE,22/09/2025,3.1,8.4, ,13.2,6.9,85,55,16.07,15.52
WILSONS PROMONTORY LIGHTHOUSE,23/09/2025,2.5,0.0, ,14.0,8.8,92,63,13.50,11.31
WILSONS PROMONTORY LIGHTHOUSE,24/09/2025,3.1,3.4, ,13.5,10.8,90,53,13.48,15.48
WILSONS PROMONTORY LIGHTHOUSE,25/09/2025,1.2,59.0, ,12.7,10.6,94,84,11.21,4.11
WILSONS PROMONTORY LIGHTHOUSE,26/09/2025,3.1,24.0, ,16.9,9.6,86,54,8.53,9.98
WILSONS PROMONTORY LIGHTHOUSE,27/09/2025,3.6,2.0, ,14.2,11.2,85,51,13.19,19.15
WILSONS PROMONTORY LIGHTHOUSE,28/09/2025,3.3,4.4, ,13.4,10.1,79,54,7.75,19.35
WILSONS PROMONTORY LIGHTHOUSE,29/09/2025,3.5,0.0, ,15.7,9.1,81,48,5.52,20.90
WILSONS PROMONTORY LIGHTHOUSE,30/09/2025,3.1,1.6, ,15.3,12.4,85,38,6.26,7.38
Totals:,,74.7,176.2, ,,,,,, 
