'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for October 2025,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 15 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/10/2025,2.8,11.8, ,14.9,9.3,88,60,8.66,13.14
WILSONS PROMONTORY LIGHTHOUSE,02/10/2025,2.4,5.6, ,13.5,8.6,90,62,11.57,7.66
WILSONS PROMONTORY LIGHTHOUSE,03/10/2025,2.6,24.6, ,14.5,9.5,92,66,13.99,14.31
WILSONS PROMONTORY LIGHTHOUSE,04/10/2025,3.8,2.0, ,23.1,11.4,91,64,7.79,19.98
WILSONS PROMONTORY LIGHTHOUSE,05/10/2025,6.1,0.0, ,24.9,12.3,91,24,9.35,12.13
WILSONS PROMONTORY LIGHTHOUSE,06/10/2025,3.3,39.8, ,13.0,10.5,90,51,13.78,17.74
WILSONS PROMONTORY LIGHTHOUSE,07/10/2025,3.7,0.0, ,13.4,10.4,75,55,9.92,20.84
WILSONS PROMONTORY LIGHTHOUSE,08/10/2025,3.7,0.0, ,16.4,11.0,86,53,6.74,22.53
WILSONS PROMONTORY LIGHTHOUSE,09/10/2025,3.4,0.0, ,15.5,12.1,85,56,8.69,16.85
WILSONS PROMONTORY LIGHTHOUSE,10/10/2025,4.2,1.8, ,17.3,10.3,77,49,11.16,14.87
WILSONS PROMONTORY LIGHTHOUSE,11/10/2025,2.6,4.0, ,13.2,11.2,91,60,12.70,8.74
WILSONS PROMONTORY LIGHTHOUSE,12/10/2025,3.1,20.2, ,15.3,9.8,90,61,11.68,16.54
WILSONS PROMONTORY LIGHTHOUSE,13/10/2025,3.7,9.6, ,12.8,8.1,72,49,9.11,20.83
WILSONS PROMONTORY LIGHTHOUSE,14/10/2025,3.5,0.0, ,14.5,9.5,79,58,10.52,18.94
Totals:,,48.9,119.4, ,,,,,, 
