'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/08/2025,1.0,0.4, ,14.1,5.2,100,74,1.97,9.67
YARRAM AIRPORT,02/08/2025,1.1,0.2, ,15.2,6.1,100,74,2.83,9.46
YARRAM AIRPORT,03/08/2025,1.4,0.4, ,16.4,3.9,100,64,3.34,11.05
YARRAM AIRPORT,04/08/2025,1.8,0.0, ,18.9,1.5,100,53,2.82,11.44
YARRAM AIRPORT,05/08/2025,2.1,2.0, ,16.1,7.6,93,55,5.85,11.19
YARRAM AIRPORT,06/08/2025,1.7,0.0, ,15.0,6.5,98,62,6.10,7.84
YARRAM AIRPORT,07/08/2025,1.5,1.2, ,14.6,5.2,100,63,4.01,10.25
YARRAM AIRPORT,08/08/2025,1.2,0.0, ,15.9,4.6,100,66,2.12,8.98
YARRAM AIRPORT,09/08/2025,1.4,0.2, ,16.2,3.4,100,65,2.96,11.61
YARRAM AIRPORT,10/08/2025,1.6,0.0, ,16.0,0.8,100,56,2.60,12.37
YARRAM AIRPORT,11/08/2025,1.6,0.0, ,15.8,0.0,100,59,3.11,12.51
YARRAM AIRPORT,12/08/2025,2.0,0.2, ,19.3,0.3,100,40,2.35,11.66
YARRAM AIRPORT,13/08/2025,1.5,2.8, ,15.1,6.5,100,70,4.61,12.00
YARRAM AIRPORT,14/08/2025,1.7,0.0, ,16.7,2.1,100,56,2.80,12.92
YARRAM AIRPORT,15/08/2025,1.8,0.0, ,15.3,1.6,100,51,4.38,4.71
YARRAM AIRPORT,16/08/2025,1.5,2.6, ,11.8,3.6,100,64,5.27,12.01
YARRAM AIRPORT,17/08/2025,1.6,1.4, ,13.2,3.5,100,55,3.29,12.37
YARRAM AIRPORT,18/08/2025,1.7,0.0, ,13.6,-0.3,100,37,2.16,13.47
YARRAM AIRPORT,19/08/2025,1.9,0.0, ,15.7,-3.4,100,45,2.75,13.50
YARRAM AIRPORT,20/08/2025,1.8,0.2, ,17.5,-0.3,100,53,2.19,13.73
YARRAM AIRPORT,21/08/2025,1.7,0.0, ,17.6,0.7,100,71,3.93,13.79
YARRAM AIRPORT,22/08/2025,1.5,0.2, ,18.3,6.2,100,60,2.07,7.41
YARRAM AIRPORT,23/08/2025,2.1,0.0, ,15.8,7.7,97,56,4.67,12.34
YARRAM AIRPORT,24/08/2025,1.8,0.0, ,15.7,0.3,100,54,2.64,13.45
YARRAM AIRPORT,25/08/2025,1.7,0.0, ,17.8,3.5,100,67,2.80,13.46
YARRAM AIRPORT,26/08/2025,2.6,0.0, ,19.2,9.8,100,38,4.32,6.31
YARRAM AIRPORT,27/08/2025,2.5,5.6, ,15.5,8.6,100,56,9.18,13.52
YARRAM AIRPORT,28/08/2025,2.2,1.0, ,14.3,7.7,98,59,8.22,11.28
YARRAM AIRPORT,29/08/2025,3.0,0.0, ,17.1,7.9,87,48,7.30,9.11
YARRAM AIRPORT,30/08/2025,2.3,4.2, ,12.6,7.2,100,54,9.90,13.55
YARRAM AIRPORT,31/08/2025,1.9,0.0, ,14.9,9.1,100,66,6.08,11.22
Totals:,,55.2,22.6, ,,,,,, 
