'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for September 2025,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/09/2025,1.9,0.6, ,15.7,7.7,100,64,4.94,11.56
YARRAM AIRPORT,02/09/2025,2.4,1.4, ,17.2,2.8,100,44,4.07,10.49
YARRAM AIRPORT,03/09/2025,2.9,0.2, ,18.5,6.5,98,51,6.30,13.36
YARRAM AIRPORT,04/09/2025,2.3,0.8, ,14.5,8.9,94,59,7.49,11.58
YARRAM AIRPORT,05/09/2025,2.0,3.8, ,14.1,2.4,100,58,3.72,14.45
YARRAM AIRPORT,06/09/2025,3.1,0.0, ,22.8,-1.9,100,38,2.73,16.50
YARRAM AIRPORT,07/09/2025,3.8,0.0, ,23.6,8.3,88,41,5.83,7.74
YARRAM AIRPORT,08/09/2025,3.4,0.0, ,20.9,12.3,100,46,6.22,15.11
YARRAM AIRPORT,09/09/2025,2.7,0.0, ,15.8,10.8,96,54,7.64,13.55
YARRAM AIRPORT,10/09/2025,1.7,0.0, ,13.6,4.2,100,63,3.38,11.30
YARRAM AIRPORT,11/09/2025,2.2,1.4, ,14.4,5.3,100,62,6.05,14.74
YARRAM AIRPORT,12/09/2025,2.1,0.4, ,16.6,6.7,100,67,6.27,12.19
YARRAM AIRPORT,13/09/2025,2.1,0.6, ,17.4,10.4,100,65,4.41,11.41
YARRAM AIRPORT,14/09/2025,3.9,0.0, ,22.6,5.5,100,37,4.42,18.05
YARRAM AIRPORT,15/09/2025,5.3,0.0, ,26.5,7.7,82,26,5.32,14.68
YARRAM AIRPORT,16/09/2025,2.9,2.6, ,17.6,12.8,100,39,5.31,10.85
YARRAM AIRPORT,17/09/2025,3.1,1.8, ,15.1,9.0,91,48,8.24,15.29
YARRAM AIRPORT,18/09/2025,3.3,1.2, ,19.5,2.1,100,37,3.70,17.54
YARRAM AIRPORT,19/09/2025,5.8,0.0, ,24.7,9.8,90,29,8.30,18.12
YARRAM AIRPORT,20/09/2025,2.5,6.8, ,15.2,5.6,97,61,8.74,15.13
YARRAM AIRPORT,21/09/2025,2.5,0.8, ,16.6,7.5,97,60,8.58,10.87
YARRAM AIRPORT,22/09/2025,2.6,4.4, ,14.0,5.9,94,59,7.17,16.97
YARRAM AIRPORT,23/09/2025,2.8,1.2, ,17.0,6.4,98,59,7.28,15.84
YARRAM AIRPORT,24/09/2025,3.1,0.6, ,16.2,10.7,100,47,7.96,15.04
YARRAM AIRPORT,25/09/2025,2.4,1.0, ,16.7,7.5,100,64,8.68,11.77
YARRAM AIRPORT,26/09/2025,4.3,0.2, ,22.0,10.2,100,39,7.26,15.53
YARRAM AIRPORT,27/09/2025,3.8,1.2, ,18.3,8.0,89,46,6.52,20.52
YARRAM AIRPORT,28/09/2025,2.4,0.0, ,15.5,9.1,100,58,4.16,14.20
YARRAM AIRPORT,29/09/2025,3.8,0.8, ,21.0,0.5,100,36,3.55,21.07
YARRAM AIRPORT,30/09/2025,3.1,0.0, ,23.0,10.1,100,45,3.87,10.24
Totals:,,90.2,31.8, ,,,,,, 
