'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/08/2025,1.4,0.2, ,15.0,0.8,100,44,1.67,12.39
YARRAWONGA,02/08/2025,1.6,0.0, ,17.2,0.4,100,46,1.83,12.25
YARRAWONGA,03/08/2025,1.2,0.0, ,17.7,0.1,100,51,0.76,12.63
YARRAWONGA,04/08/2025,1.7,0.0, ,18.2,1.4,100,65,3.53,12.74
YARRAWONGA,05/08/2025,1.4,0.8, ,15.1,7.9,100,63,2.51,12.11
YARRAWONGA,06/08/2025,1.3,0.0, ,16.2,2.4,100,69,1.99,11.56
YARRAWONGA,07/08/2025,1.3,0.2, ,14.0,-0.3,100,53,1.23,13.11
YARRAWONGA,08/08/2025,1.4,0.0, ,17.6,-1.0,100,47,0.98,13.22
YARRAWONGA,09/08/2025,1.4,0.0, ,16.7,1.6,100,53,1.01,13.23
YARRAWONGA,10/08/2025,1.3,0.0, ,16.7,1.2,100,49,0.67,13.49
YARRAWONGA,11/08/2025,1.4,0.0, ,16.4,1.5,100,53,1.14,13.62
YARRAWONGA,12/08/2025,1.3,0.0, ,14.9,1.7,100,69,1.93,11.20
YARRAWONGA,13/08/2025, ,2.4, , ,8.9,100,63,1.93,10.43
YARRAWONGA,14/08/2025, , , , , ,100,55,1.21,14.03
YARRAWONGA,15/08/2025, , , ,16.3, ,100,63,2.71,10.39
YARRAWONGA,16/08/2025,1.5,1.0, ,13.0,4.2,100,63,3.26,12.03
YARRAWONGA,17/08/2025, ,1.2, , ,0.8,100,79,1.36,10.28
YARRAWONGA,18/08/2025, , , , , ,100,48,1.56,14.59
YARRAWONGA,19/08/2025, , , , , , , , ,14.60
YARRAWONGA,20/08/2025,1.7, , ,17.9,0.2,100,47,1.06,14.87
YARRAWONGA,21/08/2025,1.9,0.0, ,19.4,1.5,100,51,1.38,14.60
YARRAWONGA,22/08/2025,1.3,0.0, ,16.3,4.1,100,75,1.46,11.00
YARRAWONGA,23/08/2025,2.1,0.0, ,18.6,2.9,100,50,2.05,14.95
YARRAWONGA,24/08/2025,1.9,0.2, ,16.2,0.2,100,48,1.60,15.50
YARRAWONGA,25/08/2025,2.0,0.0, ,18.3,-0.8,100,43,1.44,15.26
YARRAWONGA,26/08/2025,1.6,0.0, ,16.1,7.7,100,62,4.25,5.91
YARRAWONGA,27/08/2025,1.9,4.4, ,15.2,9.4,100,63,5.79,10.36
YARRAWONGA,28/08/2025,1.8,2.0, ,14.9,5.2,100,64,4.50,11.79
YARRAWONGA,29/08/2025,2.5,0.8, ,16.6,6.4,100,52,6.29,11.43
YARRAWONGA,30/08/2025,2.4,7.4, ,13.2,6.1,100,53,7.19,15.88
YARRAWONGA,31/08/2025,1.7,0.0, ,15.1,0.4,100,58,1.85,13.09
Totals:,,41,20.6, ,,,,,, 
